"증강현실(AR) 기술을 이용한 덕수궁 관광안내서비스 구축방안 연구 = study on establishment of deoksugung palace, tourist information services using augmented reality(ar) technology","오성환,김기덕",국립문화재연구소,문화재,"Vol.46No.2[2013]
",2013,Korean,"Augmented Reality,문화유산,비 마커 증강현실,덕수궁,Tourist Information Service,Deoksugung(palace),Markerless Augmented Reality,Cultural Heritage,관광안내서비스,증강현실",900.0,KCI등재,"학술저널
",,26-45,6.0,,," RISS, &nbsp;&nbsp; NDSL, &nbsp;&nbsp; KCI",,"최근 스마트폰 보급이 3천만 대를 넘어서고, 증강현실(Augmented Reality) 기술에 대한 관심이 높아지면서, 많은 분야에서 증강현실 기술과의 접목이 시도되고 있다. 문화유산 분야도 그 중에 한 분야이며, 그동안 인터넷이나 3D 기술 등을 이용하여 구축되던 문화유산도 이용자가 보다 현실감 있게 체험할 수 있는 증강현실 기술로 빠르게 전환되고 있다. 국내외 관광객들로 늘 붐비는 서울의 궁궐들은 턱없이 부족한 문화유산 해설사나 리플릿 등 단조로운 안내서비스로 일관하고 있어, 모바일 시대에 좀 더 입체적이고 종합적인 안내서비스 제공이 요구되고 있다. 본 연구에서는 증강현실 기술을 활용하여 덕수궁 관광안내서비스 앱(App)구축에 적용하였으며, 지금까지 위치기반 증강현실 기술보다 앞서는, 비 마커(Markerless)기반 증강현실 인식기술을 실제로 덕수궁의 다양한 건축물에 적용하여 구현하였다. 현실 세계에 있는 궁궐 현판이나, 문양, 입체물인 임금님의 좌대 등 특정 이미지를 인식하여 가상의 세계로 전환(트래킹, Tracking)하여 훼손된 문화재를 3D로 재현하고, 과거의 사진과 현재 건물을 합성하여, 그 당시의 시대적인 모습을 엿볼 수 있게 해줌으로써 현실감과 몰입감을 높이고 흥미를 유발함으로써, 문화재 관람이나 역사를 쉽게 이해시켜주는 효과가 있다. 또한 스마트폰에서 스토리텔링 기반의 문화유산 구현을 통해 증강현실(Augmented Reality)이라는 IT 신기술과 인문학과의 융합(Convergence)을 시도하여, 증강현실 기술이 실제 현실 세계를 기반으로 무한한 창의성을 발휘할 수 있다는 강점이 있음을 입증할 수 있었다","Sudden increase exceeding 30million in the number of smart phone users, and rising interest in the technology of augmented reality, is now trying to combine it with AR technology in other areas very much. The field of cultural heritage, which has been constructed by the Internet and 3D technology, is not unusual and this field is now rapidly changing thanks to the AR technology which can make users experience cultural heritage with high reality. The Palaces in Seoul, however, use fragmentary tools of information - lack of heritage commentators, leaflet, etc, even though the number of visitors is gradually increasing. Therefore, three-dimensional and comprehensive cultural heritage information service is needed with the guidance in the mobile era. This study utilizes the AR technology for building the Deoksugung Tourist Information Service Application(App.) applying the markerless-based recognition technology which is a more advanced tool than the location-based AR technology. This new AR technology can switch perceived real images such as the tablet of the King in the Palace of in the real world, patterns and pedestals into virtual world, which can reproduce the damaged cultural assets as 3D. This also composes photos of the past with the current buildings, which can increase people? interest and absorption of the contents, and helps them understand and be aware of Korean traditional culture and cultural heritage effectively. In addition, convergence between IT new technology, Augmented Reality(AR) and humanities through storytelling based implementation of cultural heritage in smart phone is attempted to demonstrate that there is strength in which augmented reality technique exerts infinite creativity based on actual reality world",
수정된 기술수용모델을 이용한 푸드테크산업 소비자의 배달앱 기술수용의도에 관한 연구 = Delivery App Understanding and Acceptance among Food Tech Customers Using the Modified Technology Acceptance Model,"김태호 ( Tae Ho Kim ), 김학선 ( Hak Seon Kim )",한국관광학회,관광학연구,"Vol.40No.5[2016]
",2016,Korean,"푸드테크산업, 수정된 기술수용모델, 배달앱, 지각된 용이성, 지각된 유용성, Food tech industry, Modified TAM, Food delivery apps, Perceived ease of use, Perceived usefulness",,KCI등재,"학술저널
",http://www.tosok.org/,127-144,48.0,,, KISS,,"본 연구에서는 모바일 중심의 푸드테크 산업이 크게 성장하고 있는 가운데 외식산업의 배달앱이 수정된 기술수용모델에 따른 수용의도를 살펴보았다. 배달앱은 우리나라의 야식문화와 소득수준 향상, 맞벌이 가구 증가, 2인 이하의 소형가구 및 핵가족화, 음식배달에 적합한 인구밀도 등 외식 트렌드의 시장 환경과 더불어 스마트폰 보급률의 증가와 모바일을 통한 새로운 서비스 이용에 익숙한 소비자들의 빠른 배달앱 이용으로 국내 푸드테크 산업중 가장 큰 비중을 차지한다. 이러한 배달앱의 수정된 기술수용모델에 따른 수용의도가 어떠한 영향을 미치는지를 분석하고자 하였다. 이를 배달앱 사용 경험이 있는 부산, 울산, 경남지역 거주자를 대상으로 설문조사를 실시하였다. 설문은 2016년 1월 5일부터 1월 20일까지 실시하였으며, 총 350부의 설문지를 배포 후 338부를 회수하여 배달앱을 사용하지 않은 53부를 제외하였으며, 이 중 불성실하게 응답한 18부를 제외하고 267부가 SPSS 21.0과 AMOS 21.0을 이용하여 실증분석에 사용되었다. 배달앱이 수용의도에 미치는 영향관계를 살펴보기 위해 수정된 기술수용모델의 정보의 우수성, 시스템 환경, 개인적 혁신성에 대한 설명력이 높은 지각된 용이성과 지각된 유용성이 수용의도에 미치는 영향을 분석하였다. 연구결과, 수용 의도는 정보의 우수성이나 시스템 환경보다는 개인적 혁신성이 지각된 유용성에 큰 영향을 미치는 것으로 나타났다. 또한 배달앱 사용은 외식업체의 쿠폰, 마일리지, 가격 할인 등 혜택과 상관없이 외식업체의 맛과 브랜드 인지도나 사용자 리뷰를 통한 비교평가를 보고 정보를 쉽게 찾는 것을 선택하는 경향으로 나타났고, 외부 요인의 시스템 환경이나 정보의 우수성은 수용의도에 영향을 미치지 못하는 것으로 나타났다. 이러한 결과는 개인적 혁신성이 지각된 유용성에 영향을 미치고 있다는 것을 시사한다.","The Food tech industry has emerged rapidly and a lot of food delivery apps were developed which have changed the communication patterns of customers. This research explored the scope and the degree of factors influencing the acceptance of food tech customers using the modified technology acceptance model(mTAM). This study was conducted by survey through a convenient sampling method aimed at food delivery app users from different age and gender groups. Among 350 distributed questionnaires, 338 were collected and 267 were selected as the final valid sample. Then data were analyzed using frequency analysis, reliability analysis, correlation analysis, confirmatory factor analysis, and structural equation modeling using SPSS 21.0 and AMOS 20.0. The findings supported the mTAM hypotheses established in this research. The result revealed that individual innovation has a more positive effect on intention to use than does information superiority or the system environment. In addition, Delivery app users mainly compared brand power and review comments rather than coupons, mileage, and the discount on the price. Also, the system environment and information superiority have no significant effect on the intention to use among food delivery app users.",
"외식 O2O플랫폼 품질 특성이 지각된 가치, 고객만족,지속이용의도에 미치는 영향 = A study on the effect of the quality attributes of foodservice O2O platform’s on perceived value, customer satisfaction and continuous use intention",김민경,한국관광연구학회,관광연구저널,"Vol.34No.1[2020]
",2020,Korean,"외식 O2O플랫폼 품질 특성,지각된 가치,고객만족,지속이용의도,Foodservice O2O platform’s quality attributes,Perceived value,Customer satisfaction,Continuous use intention",,KCI등재,"학술저널
",,157-172,2.0,,, DBpia,,"최근 스마트기기의 보급화로 온⋅오프라인을 유기적으로 연결하는 O2O서비스가 급성장하였으며, 외식 O2O플랫폼 시장이 신규 고객을 유입하는 채널로서 중요한 역할을 하고 있다. 외식 O2O플랫폼을 통한 구매 과정에서 고객들은 음식을 주문하고 배달 받는 과정을 통해 서비스 품질을 평가하게 되므로 이에 대한 연구가 필요하다. 따라서 본 연구에서는 외식 O2O플랫폼 이용자들의 만족도와 지속이용의도를 증대시키기 위해 외식 O2O플랫폼 품질특성과 지각된 가치, 고객만족, 지속이용의도의 관계를 파악하였으며, 결과는 다음과 같다. 첫째, 외식 O2O플랫폼 품질 특성의 요인인 시스템 품질, 정보 품질, 서비스 품질이 지각된 가치에 정(+)의 영향을 미치는 것으로 나타났다. 이는 외식 O2O플랫폼 이용에 있어 기술적 불편함 없이 사용자의 목적에 적합한 정보를 제공할 때 O2O플랫폼 이용에 대한 가치를 높게 인식하는 것을 알 수 있다. 둘째, 지각된 가치는 고객만족에 정(+)의 영향을 미치는 것으로 나타났다. 셋째, 지각된 가치는 지속이용의도에 정(+)의 영향을 미치는 것으로 나타났다. 넷째, 고객만족은 지속이용의도에 정(+)의 영향을 미치는 것으로 나타났다. 이러한 연구결과는 외식 O2O플랫폼 이용에 대한 가치 인식은 고객 유지뿐만 아니라 긍정적 구전을 통한 신규 고객 창출에 중요한 역할을 한다는 것을 알 수 있다. 본 연구의 결과는 외식 O2O플랫폼 시장의 지속적인 성장과 고객 유입을 위해서는 이용 고객들이 중요하게 생각하는 O2O플랫폼 서비스 품질 요인을 파악하고 적절한 관리가 필요함을 시사한다.","With the penetration of smart devices, O2O service for systematic online and offline connection has rapidly developed. The O2O platform market plays an important role as a channel to attract new customers. In the purchase process based on foodservice O2O platform, customers evaluate service quality in the way of ordering a food product and receiving delivery service. It is necessary to research such a point. Therefore, this study analyzed the relations between the quality attributes of foodservice O2O platform’s quality, perceived value, customer satisfaction, and continuous use intention in order to improve the O2O platform users’ satisfaction and continuous use intention. The analysis results are presented as follows: Firstly, the systme quality, information quality and service quality of foodservcie O2O platform positively influenced perceived value. It means the value of using the O2O platform was highly perceived when providing information appropriate to the user's purpose without technical inconvenience in using the foodservice O2O platform. Secondly, perceived value positively influenced customer satisfaction. Thirdly, perceived value positively influenced customer satisfaction. Thirdly, perceived value positively influenced continuous use intention. Fourthly, customer satisfaction positively influenced continuous use intention. Given the study results, the perception of the value for foodservice O2O platform use plays a critical role not only for customer attraction, but for new customer creation through positive word-of-mouth. The study results indicate that it is necessary to find the foodservice O2O platform’s quality attributes factors that customers emphasize and to make proper management in order to achieve continuous growth of the O2O platform market and attract more customers.",
"확장된 기술수용모형을 통한 환대산업 모바일 어플리케이션 지속 사용 행동에 관한 연구 = A study on the re-use behavioral intension of hospitality mobile application users, by Extended Technology Acceptance Model",백주아 ( Joo-a Baek ),대한관광경영학회,觀光硏究,"Vol.31No.3[2016]
",2016,Korean,"환대산업 모바일 어플리케이션, 기술수용모형, 후기수용모형, 사용자 만족도, 지속사용의도, Hospitality Mobile Application, Technology Acceptance Model, User Satisfaction, Re-use Intention",,KCI등재,"학술저널
",http://www.kastm.or.kr,357-373,12.0,,," 스콜라, &nbsp;&nbsp; KISS",,"정보통신기술의 발달에 따른 스마트폰 사용자의 증가 및 시장의 발전은 환대산업에서의 모바일 어플리케이션에 관한 연구의 필요성을 시사한다. 본 연구는 환대산업 (여행, 호텔, 레스토랑 등) 모바일 어플리케이션의 채택 및 사용과 사용 후 지속적 행동에 이르기까지 어플리케이션의 사용자 태도 및 행동에 중요한 영향을 미칠 것으로 예상되는 요인을 구체화하고자 하였다. 첫째, 개인의 주관적 규범과 경제적 효익이 어플리케이션의 지각된 유용성에 미치는 영향 관계를 검증한 결과 주관적 규범을 제외한 경제적 효익만이 지속 사용에 유의한 결과를 미치는 것으로 나타났다. 둘째, 환대산업 모바일 어플리케이션에 대한 사용자의 지각된 용이성, 지각된 유용성, 사용자 만족, 지속사용의도 간의 상호 영향관계에 가설 검증 결과, 만족 요인을 추가한 지각된 유용성과 지속 지속사용의도 간에는 통계적으로 유의한 결과가 도출되었다. 즉, 환대산업 모바일 어플리케이션 사용자의 유용성 지각 수준이 높을수록 높은 만족을 형성하며, 사용자의 높은 유용성 지각 및 만족도는 지속적이고 반복적인 사용의도를 형성함을 의미한다.","This study tries to understand the significant factors of hospitality mobile application on users`` reuse intention. To do so, this study builds on the extended technology acceptance model and the post-acceptance model. More specifically, this study includes the basic TAM components (e.g., perceived usefulness, perceived ease of use, and reuse intention), service quality (e.g., trustworthiness, responsiveness), social value (e.g., subjective norms, economic benefits), and satisfaction. The results of this study indicate that user satisfaction is the meaningful factor to explain the reuse intention (i.e., the mediator between antecedents and reuse intention), which eventually contributes to existing theory. As such, the findings clearly suggest that perceived ease of use and satisfaction need to be considered to increase application users`` continuous usage intention.",
외식 배달 어플리케이션 서비스 이용자의 지각된 혜택 및 희생이 지각된 가치와 행동의도에 미치는 영향 = The effect of the perceived benefit and sacrifice of delivery application service users in the food industry on perceived value and behavioral intention : Using the value-based adoption model (VAM),"김민정(Min-Jung Kim),이수범(Soo-Bum Lee)",한국관광연구학회,관광연구저널,"Vol.32No.2[2018]
",2018,Korean,"Perceived benefit,Perceived sacrifice,Perceived value,Behavioral intention,지각된 혜택,지각된 희생,지각된 가치,행동의도",,KCI등재,"학술저널
",,217-233,,,, DBpia,,"최근 스마트폰 보급의 대중화를 통해 국내 외식 배달앱 시장이 성장하고 있는 가운데 성장의 지속 가능 요인에 대한 분석이 필요한 것으로 판단되었다. 따라서 본 연구에서는 외식 배달앱 이용자들의 행동의도를 증대시키기 위해 이용자들의 지각된 혜택과 희생, 지각된 가치 및 행동의도와의 구조적인 관계를 조사하고자 하였고, 결과는 다음과 같다. 첫째, 지각된 혜택으로서 유용성과 적시성은 지각된 가치에 정(+)의 영향을 미치는 것으로 확인되었다. 이는 배달앱 이용이 유용하다는 것과 배달앱을 통해 배달음식에 대한 정보를 신속히 얻을 수 있다는 사실을 지각할수록 배달앱 이용에 대해 긍정적인 가치 평가를 하는 것으로 나타났다. 둘째, 지각된 희생으로서 보안적 위험만이 지각된 가치에 부(-)의 영향을 미치는 것으로, 기술적 노력은 지각된 가치에 부(-)의 영향을 미치지 않는 것으로 확인되었다. 이는 배달앱 이용 시 개인정보유출에 대한 염려가 부정적인 가치 형성에 영향을 주는 것으로 볼 수 있다. 셋째, 이용자의 지각된 가치는 행동의도에 정(+)의 영향을 미치며, 지각된 가치의 하위 차원 중 정서적 가치, 기능적 가치 순으로 행동의도를 높이는 것으로 확인되었다. 연구결과는 외식 배달앱 시장의 성장을 유지하기 위해 배달앱의 유용성과 보안적 위험, 정서적 가치와 기능적 가치에 좀 더 주목해야 할 필요가 있음을 제시하고 있다.","With the spread of mobile devices, the Korean food delivery service market has grown. To maintain continuous market growth, key factors need to be analyzed. Therefore, research was done by studying the structural relationships of perceived benefit and perceived sacrifice, how it affects the perceived value, and, in turn, behavioral intention. The results are as follows. First, perceived benefit, usefulness, and timeliness had a positive effect on perceived value. Namely, the larger the increase of perceived usefulness and timeliness of the delivery app, the more positive the evaluation was of said app. Second, only security risk as a perceived sacrifice had a negative effect on perceived value. With that being said, technological effort did not have a negative effect on perceived value. This means that concern about the leakage of private information affects the formation of negative value for using delivery apps. Third, the perceived value by users had a positive effect on behavioral intentions, and in the following order, emotional value and functional value had effects on behavioral intentions. The results suggest that to maintain continuous market growth of food delivery apps, more attention should be given to usefulness, security risk, emotional value, and functional value of the apps.","Abstract
Ⅰ. 서론
Ⅱ. 이론적 배경
Ⅲ. 연구모형 및 분석방법
Ⅳ. 실증분석
Ⅴ. 결론 및 시사점
참고문헌
국문요약
"
계획된 행동이론과 휴리스틱 행동의도에 관한 연구 = A Study on Theory of Planned Behavior and Heuristic Behavioral Intention : Focused on International and Regional Event Participants,"박시원(Park, Si-Won)",한국관광레저학회,관광레저연구,"Vol.28No.12[2016]
",2016,Korean,"계획된 행동이론(Theory of Planned Behavior),휴리스틱(Heuristic),유용성(Usefulness),행동의도(Behavioral Intention),이벤트(Event)",326.39,KCI등재,"학술저널
",http://www.kastle.kr,61-79,,,, DBpia,,,"This study is conducted by integrating Theory of Planned Behavior with Heuristic Theory, so as to deduce the influential relation between those two theories and Behavioral Intention of the participants in regional event as well as international event and to examine the regulation effect for usefulness of the smart devices. To analyze that, this study conducts a survey differentiating the participants in the regional event from those in the international event. The survey leads to the collections of 157 and 154 samples from each participant, and the result of the actual analysis on them is as follow. The hypothesis testing suggests that the R square (.596) of the participants in the international event is higher than that (.280) of the participants in the regional event. In addition, the moderating effect appears only in the international event. This study suggests the academic implication of presenting a theoretical framework by integrating Theory of Planned Behavior with Heuristic Theory in the tourism field, in particular in the event field and the practical implication of presenting a different approach method for each participant in the international and regional event.","Abstract
I. 서론
II. 이론적 배경
Ⅲ. 연구설계
Ⅳ. 실증분석
Ⅴ. 결론
참고문헌
"
"항공기 에어스케이프가 지각된 가치, 관계지속의도에 미치는 영향에 관한 연구 = A Study on the Effect of Airscape on the Perceived value and relationship persistence intention","김은주 ( Kim Eunjoo ), 조우제 ( Cho Wooje )",대한관광경영학회,觀光硏究,"Vol.33No.7[2018]
",2018,Korean,"에어스케이프, 지각된 가치, 관계지속의도, Airscape, Perceived value, relationship persistence intention",,KCI등재,"학술저널
",http://www.kastm.or.kr,239-257,2.0,,," KCI, &nbsp;&nbsp; 스콜라, &nbsp;&nbsp; KISS",,"최근 몇 년 사이 항공기를 이용한 국제선 여객의 증가세가 확연하다. 요즘 승객들은 항공기를 단순한 운송수단이 아닌 하나의 중요한 여행의 여정으로 여기고 항공기 기내의 쾌적한 환경과 편안하고 즐거운 서비스에 대한 기대치가 높아지고 있다. 사실 서비스 산업에서 서비스를 제공받는 공간, 즉 서비스스케이프는 전체 서비스 만족도나 평가에 중요한 영향을 미친다. 본 연구에서는 항공기 기내의 에어스케이프가 지각된 가치와 관계지속의도에 각각 미치는 영향과 또한 지각된 가치가 관계지속의도에 유의한 영향을 미치는지를 알아보고자 2018년 2월 1일부터 총 30일간에 걸쳐 대구, 경북지역에 거주하면서 항공기 탑승 경험이 있는 사람들을 대상으로 설문조사를 실시하였다.
항공기 에어스케이프의 요인을 쾌적성, 공간 편의성, 심미성, 엔터테인먼트, 청결성으로 나누어 살펴보고 지각된 가치와 관계지속의도와의 관계를 실증 분석한 결과 지각된 가치에는 쾌적성이 관계지속의도에는 청결성이 가장 많이 영향을 미치는 것으로 나타났다.
또한 지각된 가치는 고객의 기업에 대한 신념, 충성고객으로의 전환을 가능하게 만드는 관계지속의도에 유의한 영향을 미치는 것으로 나타났기 때문에 결과적으로 항공사의 향후 마케팅 전략 수립에 중요한 역할을 할 것으로 기대된다.","The purpose of this study is to investigate the effect of airscape quality on customer' s perceived value and relationship persistence intention. The research model and the hypothesis were established through the examination of the previous research, and the questionnaire items were composed. The main conclusions of this study are as follows. First, the relationship between airscape and perceived value is influenced by comfort factors, aesthetics, cleanliness, convenience. Instead of selecting movies or music from airline companies, Wi-Fi service will be more important to enjoy using their smart phone or tab. It will be necessary to launch Wi-Fi service, which is slower to introduce than foreign airlines, in Korea. In addition, cleanliness and entertainment were found to have a significant influence on the relationship intention. Therefore, the airline should make efforts to maintain the cleanliness of the aircraft when operating the aircraft. Third, we tried to investigate the effect of loyalty, word of mouth, and relationship to deep relationship continuity intention which can identify customers' future behavior intentions among sub - factors of perceived value. Through this study, it will contribute to improve the customer satisfaction by helping the airline to create and manage the airplane cabin environment and to establish the actual marketing strategy at the time of interior production.",
계획된 행동과 Flow 경험에 따른 항공사 모바일 앱 이용의도 연구 = A study on the intention to use of Airlines Mobile App according to the Planned Behaviour and Flow experience,"진경미 ( Kyung-mi Jin ), 장순자 ( Sun-ja Jang )",대한관광경영학회,觀光硏究,"Vol.31No.4[2016]
",2016,Korean,"항공사, 모바일앱, 계획행동이론, 플로우, 이용의도, Airlines, Mobile App, Theory Of Planned Behavior, Flow, Intention",,KCI등재,"학술저널
",http://www.kastm.or.kr,325-344,11.0,,," 스콜라, &nbsp;&nbsp; KISS",,"본 논문은 선행 연구를 바탕으로 항공사 모바일 앱을 이용하는 고객들의 행동과 플로우 그리고 이용의도의 개념적 정의를 도출하고 이에 따른 연구 가설 및 모형을 설정하고 이를 검증하였다. 본 연구의 검증을 위해 스마트폰 이용자를 대상으로 e-mail 및 SNS로 설문을 진행(610명)하였으며, 국·내외 항공사 앱을 이용해 본 경험이 있는 소비자 198명의 자료를 분석하였다. 분석 결과, 항공사 모바일 앱을 이용하는 고객들의 계획적인 행동(태도, 주관적규범, 지각행동통제)은 플로우 경험(도전감과 숙련도)과 이용의도에 유의한 영향을 미치는 것으로 나타났으며, 플로우 경험은 이용의도에 유의한 영향을 미치는 것으로 나타났다. 또한 항공사 모바일 앱을 이용하는 고객들의 계획적인 행동과 이용의도에 있어 플로우가 부분 매개역할을 하는 것으로 나타났다. 항공사 모바일앱을 이용하려는 고객들의 계획적인 행동은 플로우에 대해 52.3% (SMC 값,/R2)를 설명하고 있으며, 이용의도에는 84.2%의 설명하고 있다. 따라서 본 연구를 통해 항공사 모바일 앱을 이용하는 고객들의 이용의도에 있어 계획적인 행동과 플로우의 경험이 인과관계의 유의한 영향을 미치며 설명력이 있다는 것을 알 수 있었다. 이러한 연구결과에 따라, 다양한 세대가 항공사 앱을 좀 더 편리하고 쉽게 도전하고 활용할 수 있도록 개발하고, 항공사 앱을 통해 항공사에 대한 정보, 예약, 구매 등 좀 더 많은 혜택과 편의적인 서비스를 제공하여야 하며 다양한 홍보를 통해 타 항공사와의 경쟁력을 높일 수 있는 마케팅 도구로 적극 할용 할 수 있도록 항공사의 노력이 요구된다.","This study draws the conceptual definition of the behavior of customers, flow and intention using the airline mobile app based on previous studies, and set up hypotheses and models and verified it. For the verification of the study, conducted the survey by e-mail and SNS were targeted at 610 smart phone users, analyzed 198 data users who have experience using domestic and broad airlines app. Results of this study, TPB(attitude, subjective norm, and perceived behavior control power) of customers using mobile apps had meaningful effect on the flow experience (skill and challenge) and intention, flow experience had meaningful effect on intention. In addition, between TPB of customers using airline mobile apps and intention showed that the flow had a mediating role fully. TPB of customers using airline mobile apps is explaining 52.3% (SMC/R2) of the flow, 84.2% of the intention. Therefore, it can be shown that the explanation power and meaningful effect on causality between TPB and flow experience to use intention of customers using the airline mobile app through this study. According to this study, develop to challenge the airline app more convenient and easier to use for variety generations and provide more benefits and convenience services such as information about the airlines, booking, purchasing, etc. through the airline app, and also require to the airline efforts by a variety of public relations to actively use as a marketing tool to increase competitiveness with other airlines.",
블록체인 기술을 적용한 여행 전용 암호화폐 제안 = A conceptual model of crypto-currency for travel using a blockchain consensus mechanism,곽재현,한국관광연구학회,관광연구저널,"Vol.33No.3[2019]
",2019,Korean,"블록체인,합의 구조,암호화폐,여행,스마트 컨트랙트,Blockchain,Consensus mechanism,Crypto-currency,Travel,Smart contract",,KCI등재,"학술저널
",,143-154,0.0,,, DBpia,,"본 연구는 방한 외국인의 국내 여행 시 사용되는 지불수단의 문제점들을 상쇄하기 위해 블록체인 합의 매커니즘기술을 적용하여 여행 암호화폐를 제안하고자 시도되었다. 차세대 혁신 기술로 주목받고 있는 블록체인 기술은 각산업에서 큰 효율성을 가져올 것으로 기대되고 있으며 본 연구는 블록체인을 관광산업에 적용하는 토대를 마련한다. 이를 위해 블록체인의 개념을 정리하고, 그 가치와 철학에 대해 고찰하여 개념적 측면에서 한국 여행전용 암호화폐(Korea Travel Coin)를 제안한다. 이를 바탕으로 본 연구의 의의는 다음과 같다. 첫째, 기존의 연구들이 간과하고 있는 블록체인의 정체성에 대한 고찰을 시도하여 블록체인 합의 구조라는 혁신기술에 대한 통찰을 제시하였다. 사회과학 측면에서 접근한 블록체인 가치의 함의는 후속연구를 위한 기초자료를 제공한다. 둘째, 본 연구에서는 블록체인의 특성을 검토하여 현 단계의 기술수준으로도 구현이 가능한 여행용 암호화폐 모델을 제안하고, 제기되는 취약점을 보완하기 위해 프라이빗 블록체인과 퍼블릭 블록체인을 동시에 적용하는 하이브리드 블록체인 시스템 기반의KTC(Korea Travel Coin)을 제시했다. 기술적 근거를 제공함으로써 KTC 상용화 가능성을 타진하고 보완된 로직으로의 확장을 가능케 한다. 본 연구의 결과를 통해 장기적인 안목과 방향성을 가지고 블록체인 합의 매커니즘의 산업적적용을 보다 심도 있게 고민해 볼 필요가 있다.","This study attempts to propose a crypto-currency for travel by applying a blockchain consensus mechanism to offset the problems of payment means in overseas trips. Blockchain technology, which is attracting attention as a next-generation innovation, is expected to bring greater efficiency in every industry, and this study sets the foundation for applying blockchain to the tourism industry. For this purpose, the concept of blockchain was summarized, and its value and philosophy were examined. For the conceptual aspect, Korea Travel Coin was proposed. The significance of this study is as follows. First, this study tried to examine the identity of the blockchain that the existing research has overlooked and presented an insight into the innovation technique called the blockchain consensus mechanism. This approach is necessary because it minimizes confusion, and it is also missing in most studies related to blockchain. Second, this study proposed a model of crypto-currency for Korean travel. In order to compensate for the vulnerability, the hybrid block, which applies both the private blockchain and the public blockchain, KTC(Korea Travel Coin) based on a blockchain system was presented. By providing a technical basis, researchers can explore the possibility of commercialization of KTC and enable expansion into complementary logic. The results of this study suggest that the industrial application of the blockchain agreement mechanism should be investigated with a long-term perspective and direction.",
호텔 모바일 웹의 서비스 품질이 이용 만족도에 미치는 영향: 모바일 웹 친숙도의 조절효과를 중심으로 = The Impact of the Service Quality of Hotel's Mobile Web on the Usage Satisfaction: Focusing on regulation effect of mobile web familiarity,"최두환,김홍범",관광경영학회,관광경영연구(Journal of Tourism Management Research),"Vol.86No.-[2018]
",2018,Korean,Hotel. Mobile Web. Service Quality. Usage Satisfaction. Mobile Web Familiarity,,KCI등재,"학술저널
",http://www.tmro.or.kr/ ,439-463,4.0,,," KCI, &nbsp;&nbsp; eArticle, &nbsp;&nbsp; KISS",,,"In hospitality industry, like many other industries, mobile web becomes an easy and usable medium through all age groups by the popularity of smart phones. This study examines the influence of hotels’ mobile web service quality to usage satisfaction through empirical data analysis, considering the moderating effect of mobile web familiarity. By exploring new variables such as personalized service and connectivity with SNS, this study presumed that hotels’ mobile web would be an important marketing arm, and tried to determine significant characteristics of hotels’ mobile web service quality to its usage intention by users. A total 240 effective samples were collected from both male and female adults of frequent smart phone users, ranging from 20's to 60's, who experienced or used hotels’ mobile web. The result shows that 'service quality', information quality', and 'system quality' of hotels’ mobile web give significant influence to users' satisfaction of their usage behaviors. It is also proved that there is a significant moderating effect of mobile web familiarity on the causal relationship between security of hotels’ web service quality and usage satisfaction. This empirical study is intended to contribute more thoughtful understanding of the service quality of mobile web, so as to provide effective information and to build conceptual scheme of hotels’ mobile web service. The results would be expected to give managerial implications on devising revitalization of hotel management and sales increase. The result of the study would also have a practical assist to expand hotels’ turn-over as well as the utilization of various information on their customers and hotel operations by improving the level of hotels’ mobile web service quality.",
