제목,저자,발행기관,학술지명,권호사항,발행연도,작성언어,주제어,KDC,등재정보,자료형태,발행기관 URL,수록면,KCI 피인용횟수,비고,중단사유,제공처,소장기관,국문 초록 (Abstract),다국어 초록 (Multilingual Abstract),목차
정보통신기술(ICT) 기반 “스마트관광 서비스”활성화 방안,김경태,한국문화관광연구원,한국관광정책(Korea Tourism Policy),"Vol.-No.62[2015]
",2015,Korean,,,,"학술저널
",,69-77,,,, DBpia,동국대학교 중앙도서관,,,"1. 스마트관광 시대
2. 스마트관광 현황
3. 스마트관광 문제점
4. 스마트관광 활성화 대책
5. 스마트관광 기대효과
"
4차 산업혁명과 스마트관광도시,구철모,한국문화관광연구원,한국관광정책(Korea Tourism Policy),"Vol.-No.65[2016]
",2016,Korean,,,,"학술저널
",,65-72,,,, DBpia,동국대학교 중앙도서관,,,"1. 4차 산업혁명과 디지털 생태계의 진화
2. 4차 산업혁명 속에서 스마트관광의 등장
3. IoT와 스마트관광 그리고 스마트관광도시
4. 스마트 관광도시로서의 한국의 현황 및 문제점
5. 4차 산업혁명 도래에 따른 스마트 관광도시 전략
"
자기통제력이 스마트폰 중독과 관광고등학교 생활적응에 미치는 영향 = The Effect of Self-control and Smartphone on Adaptability to Tourism High School Life,"이정화 ( Jeong-hwa Lee ), 장형욱 ( Hyeong-wook Jang )",대한관광경영학회,觀光硏究,"Vol.31No.3[2016]
",2016,Korean,"자기통제력, 스마트폰 중독, 학교생활 적응, Self-control, Smartphone addiction, adaptability to school life",,KCI등재,"학술저널
",http://www.kastm.or.kr,249-275,9.0,,," 스콜라, &nbsp;&nbsp; KISS",,"최근 스마트폰이 청소년들에게 손쉽게 보급되기 시작하면서 청소년들의 스마트폰 사용으로 인한 문제가 사회적으로 대두되고 있다. 이러한 현상은 청소년들의 가정은 물론 학교생활에서도 문제가 되고 있다. 따라서 본 연구에서는 관광고등학교 학생을 대상으로 첫째, 자기통제력이 스마트폰 중독에 어떠한 영향을 미치는지, 둘째, 자기통제력이 학교생활적응에 어떠한 영향을 미치는지, 셋째, 스마트폰 중독이 학교생활적응에 어떠한 영향을 미치는지에 대한 관계에 대하여 살펴보고자 하였다. 연구의 목적을 달성하기 위하여 서울특별시에 소재한 관광고등학교를 대상으로 2014년 11월 20일부터 11월 26일까지 총 800부의 설문지를 배포하였으며, 659부의 설문지가 회수되었다. 수집된 설문지 중 비응답되었거나 부실하게 응답한 58부를 제외한 총 601개 데이터를 이용하여 실증분석을 실시하였다. 연구 결과, 자기통제력은 스마트폰 중독에 유의한 영향을 미쳤고, 자기통제력이 학교생활 적응에 미치는 영향도 유의한 영향을 미쳤으며, 스마트폰 중독이 학교생활 적응에 유의한 영향을 미치는 것으로 조사되었다.","As smarphones became widely available to adolescents these days, in society problems caused by smartphones used by teenagers are on the rise. The phenomenon has become problematic not only in their homes but also in schools. Thus, this study conducted a survey of tourism high school students and examined the relations of(1) how self-control influenced smartphone addiction, (2) how self-control influenced adaptability to school life, and (3) how smartphone addiction influenced adaptability to school life. To achieve the goal of the study, a total of 800 surveys were distributed to tourism high schools located in the city of Seoul from November 20 to November 26, 2014, of which 659 surveys were collected. Out of the collected surveys, 58 surveys that included non-responding or insufficient contents were dropped, thus a total of 610 data were used for empirical analyses. As a result, self-control significantly influenced smartphone addiction; self-control also significantly influenced adaptability to school life, and smartphone addiction significantly influenced adaptability to school life.",
관광자 가치에 따른 스마트폰 관광정보활용이 관광자의 제약요인 해소에 미치는 영향,"김정준,최재우,오경택",관광경영학회,관광경영연구(Journal of Tourism Management Research),"Vol.65No.-[2015]
",2015,Korean," Tourism Information, Smartphone, Tourists' Restriction Factors, Tourist Values.",,KCI등재,"학술저널
",http://www.tmro.or.kr/ ,311-328,0.0,,," eArticle, &nbsp;&nbsp; KISS",,,"This study was conducted to study how the use of tourism information on the Smartphone contributes to resolving tourists' restriction factors according to the values pursued by each individual tourist. A total of 374 samples were extracted among the tourists who used the tourist information acquired from the Smartphone and the following are the results of analysis using SPSS 18.0. First, the tourists who pursue emotional values perceived the polarity and usability of tourist information on the Smartphone. Second, the tourists who pursue social values perceived the reliability and interactivity of tourist information on the Smartphone. Third, the polarity of use of tourist information on the Smartphone had a significant influence on intrinsic restriction and face-to-face interactivity restriction, while interactivity had a significant influence on face-to-face interactivity restriction and usability had a significant influence on intrinsic restriction and structural restriction. Finally, the reliability of tourist information on the Smartphone rather increased the tourists' perception of intrinsic restriction. Future studies could be improved by verifying the influence of tourist information on the Smartphone on the actual behaviors and attitudes of tourists.","ABSTRACT
 Ⅰ. 서론
 Ⅱ. 이론적 배경
  1. 관광자의 가치
  2. 스마트폰 관광정보
  3. 관광자의 제약요인
 Ⅲ. 연구설계
  1. 연구모형
  2. 가설의 설정
  3. 변수의 조작적 정의 및 측정척도의 구성
  4. 자료수집 및 분석방법
 Ⅳ. 실증분석
  1. 표본의 특성
  2. 측정항목 신뢰성 및 타당성 검정 결과
  3. 가설의 검증
 Ⅴ. 결론
 참고문헌"
연구논문 : 스마트폰 기반 관광정보 수용과 관광상품 구매의도에 관한 연구 = A Study of Examining the Relationship between Adoption of Smartphone- Based Tourism Information and Use Intention,"김조영 ( Jo Young Kim ),이충기 ( Choong Ki Lee ),김정만 ( Joung Man Kim )",대한관광경영학회,觀光硏究,"Vol.27No.6[2013]
",2013,Korean,"정보품질,디자인심미성,지각된 사용용이성,지각된 정보 유용성,기술수용모형,information quality,design aesthetics,perceived ease of use,perceived usefulness,Technology Acceptance Model",326.0,KCI등재,"학술저널
",http://www.kastm.or.kr,15-38,,,," 스콜라, &nbsp;&nbsp; KISS",,"정보통신 기술의 급속한 발전으로 정보 활용에 대한 시간적, 공간적 제약이 종전과 비교가 되지 않을 정도로 완화되었고 이제 잠재 관광객은 언제 어디서나 편리하고 신속하게 정보를 검색해서 관광에 활용할 수 있게 되었다. 정보기술환경의 변화와 이에 대응하는 정보 활용자로서 스마트폰 기반 관광정보사용자의 관광에 관한 정보수용과 사용의도, 그리고 구매의도의 구조적 인과관계를 살펴볼 필요가 있다. 이러한 맥락에서 본 연구의 목적은 날로 진화하는 스마트폰 관광정보 환경에서 관광주체로서 잠재 관광객의 관광정보의 수용에 결정적인 영향을 미치는 선행요인들이 어떻게 상호관련을 맺고 사용의도에 영향을 미치고, 궁극적으로 관광상품 구매의도에 연결되는지를 실증적으로 연구하고 분석 결과에 입각한 이론적 실무적 시사점을 제시하고자한다. 자료는 온라인 설문조사를 통해 589 사례를 수집하고, 불성실한 응답자를 제외한 후 495매를 분석대상으로 하였으며 분석은 SPSS와 AMOS를 활용하였다. 구조방정식을 활용한 분석결과 정보품질은 사용 용이성에 유의한 영향을 미치는 것으로 확인되었으나 유용성에는 유의한 영향관계가 성립되지 않는 것으로 나타났다. 지각된 사용 용이성은 지각된 유용성에 유의한 영향을 미치고, 사용용이성과 유용성은 각각 사용의도에 긍정적 영향을 미치며, 사용의도는 관광상품 구매의도에 유의한 영향관계가 있는 것으로 확인되었다.","Recently, dramatic developments in ICT (Information Communication Technology) have created unparalleled convenience for potential tourists to access appropriate tourist information from anywhere at any time. The purpose of this research is firstly to examine the influences of the antecedent factors affecting a potential tourist`s use of smartphone-based tourism information (i.e. information quality, design aesthetics, ease of use, and usefulness), on the tourist`s intent to use tourism information, and ultimately on the tourist`s intent to purchase tourism products; and secondly to provide theoretical and practical implications based on the results. A total of 586 data were collected through an online survey, and 495 were analyzed using SPSS and AMOS programs. The results indicated that out of 8 hypotheses, 7 positive and significant relationships were supported among the related factors, and only 1 hypothetical relationship was confirmed as insignificant. The SEM(Structural Equation Modeling) test results indicate that information quality has positive influence on easy of use, but no significant influence on usefulness; meanwhile, design aesthetics has positive influence on both ease of use and usefulness. The results also indicate that ease of use has positive influence on usefulness, while both ease of use and usefulness have positive influence on the tourist`s intent to use. Finally, intent to use has a positive casual relationship with intent to purchase of tourism products via smartphone.",
스마트 정보 환경과 관광안내소 방문 수요 = Use Demand for Tourist Information Centers in the Smart Information Era,"류성옥 ( Seong Ok Lyu ),최일선 ( Il Sun Choi ),이훈 ( Hoon Lee )",한국관광학회,관광학연구,"Vol.38No.4[2014]
",2014,Korean,"관광안내소,모바일기기,관광정보 탐색,허들 모형,Tourist information centers,Mobile devices,Travel information search,Hurdle model",326.39,KCI등재,"학술저널
",http://www.tosok.org/,121-140,6.0,,, KISS,,"정보통신 기술의 혁명적인 발전은 관광객의 여행정보 탐색과 관련된 행동에도 많은 변화를 가져왔다. 특히 스마트폰과 모바일 컴퓨터의 급속한 보급에 따른 스마트 정보 시대의 도래는 그동안 여행정보를 얻는 대표적 외적 수단으로 기능해왔던 관광안내소의 운영에도 지대한 영향을 미치고 있다. 이에 따라 본 연구는 급변하는 정보 환경에서 관광안내소가 관광객의 달라진 정보 욕구를 충족시킬 수 있는 새로운 역할을 찾는데 목적이 있다. 최근 1년 동안 국내 여행 경험이 있는 한국인을 대상으로 진행된 본 연구의 결과에 따르면, 여행 정보원으로서 인터넷의 기능이 관광안내소의 방문 결정뿐 아니라 방문 수요량 확대에도 부정적인 영향을 미쳤다. 반면 소셜 네트워크 서비스(SNS)에 여행 경험담이나 후기, 사진 등을 올리는 관광객은 관광안내소 방문에 적극적이었으며, 방문 횟수도 더 많은 것으로 나타났다. 허들모형을 활용한 본 연구는 분석 결과를 바탕으로 향후 관광안내소가 이용자들의 만족을 극대화할 수 있는 방안을 제시했다.","The revolutionary development in recent information communication technology has substantially transformed tourist behaviors in searching for travel information. The advent of the ``smart information`` era representing the wide diffusion of mobile devices, such as smartphones and wireless tablet computers, has encouraged tourism organizations to reconsider their current Operation Systems (OS) for tourist information centers (TICs). This study intends to provide useful TIC management implications, which can assist the traditional forefront engines of tourism promotion, to help deal with the dramatically changing information environment. Using a sample of Korean domestic tourists, this study aims to provide opportunities to understand what elements of technology development influence tourist visits to TICs. From this study, results revealed that the innovative progress in information communication technology had negative effects on TIC use demand. It is interesting that many SNS users revealed their preferences for frequent visits to the tourism facilities. Several constructive management strategies are proposed to fulfill TIC visitor satisfaction.",
스마트관광 가상현실체험요소가 관광만족 및 행동의도에 미치는 영향 = The Effect of Smart Tourism Virtual Reality(VR) Experience Factors on Tourism Satisfaction and Behavior Intention: Focused on the Moderating Effect of Presence,"이항아(Lee Hang ah),김이태(Kim Yitae)",한국관광레저학회,한국관광레저학회 학술발표대회,"Vol.2018No.12[2018]
",2018,Korean,"스마트관광(Smart Tourism),가상현실(Virtual Reality, VR),체험경제이론(Experience Economy),체험요소(Experience Factors),현존감(Presence),관광만족(Tourism Satisfaction),행동의도(Behavior Intention)",,,"학술저널
",,105-118,,,, DBpia,,,"The purpose of this study was to investigate the relationships among Virtual Reality(VR) Experience Factors, Tourism Satisfactions and Behavior Intention. Moreover, it also investigated the Moderating Effect of Presence. The model was tested using the empirical data collected from 380 tourist who had visited four Busan Virtual Reality Experience Zone during two weeks between November and December, 2018. The findings showed that Virtual Reality(VR) Experience Factors had partly significant effect on Tourism Satisfactions. The results also suggested Tourism Satisfactions positively influenced Behavior Intention. Lastly, Presence played a significant moderation role in the relationship between Virtual Reality(VR) Experience Factors and Tourism Satisfactions.","Abstract
Ⅰ. 서론
Ⅱ. 이론적 배경
Ⅲ. 연구방법
Ⅳ. 실증분석 결과
Ⅴ. 결론
참고문헌
"
스마트폰을 활용한 관광정보탐색이 삶의 질에 미치는 영향 - 기술수용모형(TAM: Technology Acceptance Model)의 적용 - = The Effects of Searching for Tourism Information on Quality of Life Using Smartphones,"이진희,김남조",한양대학교 관광연구소,觀光硏究論叢(The journal of tourism studies),"Vol.31No.4[2019]
",2019,Korean,"스마트폰,관광정보탐색,삶의 질,기술수용모형,Smartphone,Tourism information search,Quality of life,TAM(Technology Acceptance Model)",,KCI등재,"학술저널
",,139-164,0.0,,, DBpia,,"본 연구의 목적은 스마트폰을 활용한 관광정보탐색이 삶의 질에 미치는 영향을 파악하는 것이다. 이를 위하여 스마트폰을 활용하여 관광정보탐색을 한 경험이 있는 내국인을 대상으로 설문조사를 실시하였으며 442개의 유효표본으로 분석을 진행하였다. 분석 결과 12개 가설 중 10개 가설이 지지되었다. 주변상황 인식성과 편재접속성은 지각된 유용성에 영향을 미쳤으나, 구매/예약 가능성과 준비성은 영향을 미치지 않았다. 이 변수들은 모두 지각된 용이성에 영향을 미쳤으며 지각된 용이성은 지각된 유용성에 영향을 미쳤다. 마지막으로, 지각된 유용성과 지각된 용이성은 여가활동 만족에 영향을 미쳤으며, 여가활동 만족은 삶의 질에 영향을 미치는 것으로 나타났다. 이러한 연구 결과를 토대로 이론적·실무적 시사점을 제안하였다.","The purpose of this study is to examine the effect of searching tourism information on the quality of life using smartphones. To achieve tyhis purpose, a survey was conducted to Koreans who had experienced in exploring tourism information using smartphones. Analysis was conducted using 442 valid samples. The results of analysis supported 10 of the 12 hypotheses. Peripheral situational awareness and ubiquitous connectivity positively affect perceived usefulness, but the availability of purchase/reservation and readiness of travel do not. These variables all affected perceived ease-of-use, and perceived ease-of-use affected perceived usefulness. Finally, perceived usefulness, perceived ease-of-use affected leisure satisfaction, and leisure satisfaction affected the quality of life. Based on these findings, this study suggested theoretical and practical implications for improving the quality of life of Koreans.",
기술준비도가 스마트폰 관광 애플리케이션 이용의도에 미치는 영향 - 기술준비수용모델 적용 - = Effects of Technology Readiness on Usage Intention of Smart-Phone Tourism Applications: An Application of the Technology Readiness and Acceptance Model,"서재연 ( Seo Jae-yeon ), 김송이 ( Kim Song-i ), 정철 ( Jeong Chul )",한국관광학회,관광학연구,"Vol.42No.8[2018]
",2018,Korean,"기술준비도, 기술준비수용모델, 관광 애플리케이션, 지각된 유용성, 지각된 사용용이성, 이용의도, Technology readiness index, Technology readiness and acceptance model, Tour application, Perceived usefulness, Perceived ease of use, Intention to use",,KCI우수등재,"학술저널
",http://www.tosok.org/,109-127,5.0,,, KISS,,"본 연구는 새로운 기술에 대한 개인의 기술준비도에 차이가 있음을 인지하고 스마트폰 사용자를 대상으로 개인의 기술준비도가 스마트폰 관광 애플리케이션의 지각된 유용성과 지각된 사용용이성 그리고 이용의도에 미치는 영향을 파악하고자 하였다. 연구결과, 긍정적 기술준비도(낙관성, 혁신성)는 이용의도에 직접적인 영향을 미치지는 않았지만 지각된 유용성과 지각된 사용용이성에는 영향을 미치는 것으로 나타났다. 반면, 부정적 기술준비도인 불편함과 불안감은 지각된 유용성, 지각된 사용용이성, 이용의도에 모두 유의한 영향을 미치지 않는 것으로 나타났다. 기술수용모델의 신념인 지각된 사용용이성은 지각된 유용성에 유의미한 영향을 미치고, 지각된 유용성과 지각된 사용용이성 모두 이용의도에 유의미한 영향을 미치는 것으로 나타났다. 이는 새로운 기술에 대해 긍정적이고 혁신적 성향을 가진 사람들이라도 관광 애플리케이션 이용에 있어 직접적인 영향관계는 없지만, 애플리케이션이 유용하거나 사용하기 편리하다고 생각 될 경우에는 이용의도가 있다고 판단할 수 있다. 본 연구결과를 토대로 이론적 시사점과 실무적 시사점을 제시하였다.","The purpose of this research is to recognize that there is a difference among individuals’ technology readiness to new technology and to investigate the effects of technology readiness on perceived usefulness, perceived ease of use, and intention to use for targeting smart phone users. The results showed that positive technology readiness (optimism and innovation) weakly affected perceived usefulness and perceived ease of use but did not directly affect intention to use. On the other hand, negative technology readiness, discomfort, and insecurity did not affect perceived usefulness, perceived ease of use, and intention to use. Perceived ease of use positively affected perceived usefulness, and both perceived usefulness and perceived ease of use had a significant effect on intention to use. Thus, people who are positive and innovative about new technology are not affected by intention to use, but if they decide that new technology would be useful and convenient to use, they do intend to use it. Based on the results, this study suggests theoretical and practical implications.",
"스마트폰 기반 관광정보 특성에 따른 관광정보만족도 및 신뢰도, 행동의도 연구 = A study on the Influence of Travel Information Characteristics of Smart-phone on Travel Information Satisfaction, Credibility, and Behavior Intention","윤유식 ( Yoo Shik Yoon ),유예경 ( Ye Kyoung Yoo ),장양례 ( Yang Lae Jang )",한국관광학회,관광학연구,"Vol.37No.5[2013]
",2013,Korean,"스마트 폰,Smart phone,관광정보,Travel information,관광정보만족도,Travel information satisfaction,행동의도,Behavior intention",300.0,KCI등재,"학술저널
",http://www.tosok.org/,11-28,20.0,,," KCI, &nbsp;&nbsp; KISS",영남대학교 중앙도서관,,,
