제목,저자,발행기관,학술지명,권호사항,발행연도,작성언어,주제어,KDC,등재정보,자료형태,발행기관 URL,수록면,KCI 피인용횟수,비고,중단사유,제공처,소장기관,국문 초록 (Abstract),다국어 초록 (Multilingual Abstract),목차
[초청강연Ⅱ] 차세대 자동차를 위한 차체 경량화 기술 = Technology of Light Weight Vehicle for Next Generation Automobile,박영환(Young Whan Park),한국자동차공학회,한국자동차공학회 지부 학술대회 논문집,"Vol.2018No.11[2018]
",2018,Korean,"Light Weight Vehicle(경량 자동차),Multi-Material Car body(다종소재 차체),Mechani cal Joining(기계적 접합),Hybrid Joining(복합 접합)",,,"학술저널
",http://www.ksae.org,54-83,,,, DBpia,,"전세계적 환경오염에 대한 관심이 많아 지고 있으며, 이에 대하여 각국은 차량의 배기가스를 최소화 하기위한 다양한 규제들이 강화되고 있다. 이에 따라 하이브리드 자동차, 전기 자동차, 연료전지 자동차에 대한 공급이 진행되고 있으며, 이것은 새로운 자동차의 수요를 창출하고 있다. 이러한 자동차에 있어서 차체 경량화는 자동차의 고효율화를 위해 반드시 필요하다. 경량화 10%를 달성할 때 연비의 3.8% 향상 제동 거리의 단축, 배기가스 감축의 효과가 있으며 경량화를위한 전략으로는 알루미늄과 마그네슘과 같은 경량 금속의 채택, CFRP 와 같은 소재의 적용이 대표적인 예이다. 이러한 다종의 소재를 적용하는 방식을 Multi-Material 으로 표현되며, 많은 자동차회사에서 이를 적용하여 차체를 제작하거나 준비중에 있다.
  이러한 차체의 제작에 있어서 반드시 필요한 것 중에 하나는 자체의 접합 기술이다. 기존의 단일 소재를 용접하는 방법에서 이종소재의 접합과 용접이 채택될 수 밖에 없으며, 소재적 특성으로 인하여 용접이 불가능한 현상도 발생한다. 이를 극복할 수 있는 방법 중에 하나가 기계적 체결(mechanical joining) 방식의 예를 들 수 있다. 그러므로 본 연구에서는 기계적 접합 공정 중 Clinching, Self Piercing Riveting, Flow Drilling Screw (FDS), Friction Stir Spot Welding 공정을 소개하고, 각 프로세스의 원리, 장점 및 단점에 대하여 분석하고자 한다. 그리고 내구성 강화를 위하여 접착제를 활용한 용접본드와 기계적 접합을 동시에 적용한 하이브리드 접합법에 대한 내용 및 결과를 분석하고자 한다. 이를 통해 향후 국내 자동차 산업의 차세대 자동차에 맞는 차체 생산 기술 및 접합 기술에 대한 동향을 공유하고자 한다.",,
복합진동시험기를 이용한 자동차부품의 성능평가 기술 = Performance Evaluation Technology for Automotive parts using the Environment Vibration Tester,"박태근(Taekeun Park),조원용(WonYong Cho),조철용(Chulyong Cho),심기중(Kijoung Sim),최규재(Gyoojae Choi),유경현(Kyunghyun Ryu)",한국자동차공학회,한국자동차공학회 지부 학술대회 논문집,"Vol.2008No.11[2008]
",2008,Korean,"Durability(내구성),Automotive Parts(자동차부품),Vibration(진동),Environmental Vibration Tester(복합진동시험기),Performance Evaluation Technology(성능평가기술)",556.0,,"학술저널
",http://www.ksae.org,19-23,,,, DBpia,,"자동차부품의 내구성능은 중요한 성능 중의 하나로 세계 최고수준의 자동차를 만들기 위해서는 반드시 확보해야 할 기술이다.
국산 자동차에 대한 초기품질은 세계 최고 수준에 이르고 있지만, 내구성능은 최하위권에 머무르고 있는 실정이어서 이에 대한 대책 마련이 시급하다. 또한 섀시부품 및 모듈의 내구성능 향상은 자동차 전체의 내구성능 향상을 위해 필수적인 요소라 할 수 있다.
국내 자동차의 내구성능을 향상시키기 위해서는 내구성능에 대한 객관적인 평가기준과 이를 수행할 수 있는 시험기 및 인적자원이 절실히 필요하다.
본 고에서는 자동차 부품 및 모듈의 내구성능향상을 위한 평가 과정과 함께 부품 내구성능 평가장비 및 다년간의 경험 있는 전문인력을 보유하고 관련 부품의 내구성능을 평가하고 있는 군산대학교 자동차부품기술혁신센터(KATIC)의 시험평가장비 및 사례를 기술하였다. 다양한 제품의 성능을 평가하기 위해 시험기 및 시험부자재를 활용하여 시험시스템 구축에 도움이 되도록 할 예정이며, 유사제품 평가에 있어 자동차 부품 내구성능평가 방법과 관련 장비들은 향후 자동차부품 및 일반기계부품 개발업체에서 잘 활용할 수 있을 것이다.","Durability of automotive parts is one of the most important factors for the vehicle performance. Vibration in the vehicle cause automotive parts failure such as short circuit, crack, loosened bolt tightening. So the evaluation of vibration property is increased in recent year. But there isn’t still the objective and standardized technology development in domestic, and moreover the requirements of the car makers and customers are more diversity. Enhancement of durability have become the necessary conditions for an automotive parts, and the durability performances under vibration have treated as the top priority. In this paper, we describe the evaluation technology for durability of automotive parts by using the environment vibration tester, which is installed and operated by Kunsan Automotive Technical innovation center.","Abstract
1. 서론
2. 복합진동 시험기 적용사례
3. 요약
References"
자동차부품 6축 진동 내구시험 평가기술 = 6 Axis Vibration Durability Test Technology for Automotive Components,"이지선(Jisun Lee),김환(Hwan Kim),강인묵(inmook kang),조쳘용(Chulyong Cho),최규재(Gyoojae Choi)",한국자동차공학회,한국자동차공학회 지부 학술대회 논문집,"Vol.-No.-[2007]
",2007,Korean,"6 Axis Vibration durability test(6축 진동 내구시험),automotive components(자동차 부품),test equipment(시험장비),MAST(Multi-Axis Simulation Table)",,,"학술저널
",http://www.ksae.org,15-21,,,, DBpia,,"자동차부품의 내구성능은 중요한 성능 중의 하나로 세계 최고수준의 자동차를 만들기 위해서는 반드시 확보해야 할 기술이다.
  국산 자동차에 대한 초기품질은 세계 최고 수준에 이르고 있지만, 내구성능은 최하위권에 머무르고 있는 실정이어서 이에 대한 대책 마련이 시급하다. 또한 세시부품 및 모듈의 내구성능 향상은 자동차 전체의 내구성능 향상을 위해 필수적인 요소라 할 수 있다.
  본 고에서는 자동차 부품 및 모듈의 내구성능 향상을 위한 평가 과정과 함께 부품 내구성능 평가장비를 보유하고 관련 부품의 내구성능을 평가하고 있는 군산대학교 자동차부품기술혁신센터(KATIC)의 시험평가장비 및 사례를 기술하였다. 자동차 부품 내구성능평가 방법과 관련 장비들은 향후 자동차부품 및 일반기계부품 개발업체에서 잘 활용할 수 있을 것이다.","In this article, 6 Axis Vibration durability test technology for automotive components is presented. Test equipments and procedures which used in Kunsan National University Automotive Technology Innovation Center(KATIC) are introduced. High fidelity and high performance testing systems, for examples, chassis corner module road simulator, multi-axis simulation table, linear and rotary actuator, etc., are equiped in the center. Especially MAST for 6 Axis vibration durability test is introduced. MAST test procedure and examples is presented.","Abstract
1. 서론
2. 자동차부품 6축 진동내구시험평가
3. 6축가진내구시험기 시험사례
4. 요약
References
"
자동차 산업은 '90년대 한국경제를 주도할 수 있을까,남충우,한국자동차공학회,한국자동차공학회 학술강연초록집,"Vol.-No.-[1989]
",1989,Korean,,556.0,,"학술저널
",http://www.ksae.org,5-22,,,, DBpia,,,,"1.자동차업계의 최근동향
2.자동차산업의 중요성과 성장전망
3.우리나라 자동차산업의 현주소
4.'90년대 자동차산업의 도전과 대응방안
5.자동차기업인!근로자여러분!우리 손잡고 한국자동차 산업을 아끼고 키워나갑시다!
자동차기업인 여러분!
근로자여러분!
자동차공업인. 자동차근로자 여러분!"
하이브리드 자동차의 충돌안전성 기준에 관한 고찰 = Consideration on the Crash Safety Regulations of the Hybrid Electric Vehicle,"임재문(Jae Moon Lim),석주식(Jusik Suk),김규현(Gyuhyun Kim)",한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[2007]
",2007,Korean,"Hybrid Electric Vehicle(하이브리드 자동차),Fuel Cell Electric Vehicle(연료전지 자동차),Electrolyte Spillage(전해액 누출),Battery Retention(배터리 고정성),Electric Isolation(전기적 절연)",,,"학술저널
",http://www.ksae.org,1507-1511,,,, DBpia,,,"Sales of Hybrid Electric Vehicles (HEV) have increased in recent years, especially in the USA. The HEV is expected to play an important role for realizing the Electric Vehicle (EV) in the long run. USA, Europe and Japan are prepared the motor vehicle safety standards about the HEV using the safety standard for the EV or Fuel Cell Electric Vehicle (FCEV). The vehicle safety regulations of USA, Europe and Japan are reviewed for the occupant protection under the various crash environment. This study will be reflected for the establishment on the Korean motor vehicle safety standard for the HEV.","Abstract
1. 서론
2. 하이브리드 자동차 현황과 전망
3. 각국의 하이브리드 자동차 충돌안전성에 관한 안전기준 현황
4. 하이브리드 자동차 충돌안전성
5. 하이브리드 자동차 배터리 장착 추세에 따른 충돌안전성 고찰
6. 결론 및 향후 연구과제
후기
References
"
친환경 자동차 정부 R&D 투자전략,김동근(Dong-Guen Kim),한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2010No.11[2010]
",2010,Korean,"Government R&amp,D (정부 R&amp,D),R&amp,D Investment Strategy (R&amp,D 투자 전략),Greencar (친환경 자동차),Electric vehicle (전기자동차),Clean diesel car (클린 디젤 자동차)",,,"학술저널
",,3056-3059,,,, DBpia,,,"In these days, strict environmental regulations are enforced in major countries to lowering greenhouse gas. Major auto-producing countries invest national research and development budget on greencar technology, such as clean diesel engine, hybrid electric vehicle, and electric vehicle. The Korean government selected greencar technology as key technology in many plans and programs. Because The Korean government will invest amount of research and development budget to develop the technology of greencar, the study about the strategy of government investment is needed. In this study, the investment amount of government divisions for greencar in past years and annual national budget policy of NSTC(National Science and Technology Council) in next year about greencar are investigated. Then, the investment strategy of the Korean government to greencar technology is researched. With the consideration of technology level, marketability and development capability, investment on base technology of electric car and infrastructure construction for electric charging of electric car","Abstract
1. 서론
2. 친환경 자동차 분야 정부 R&D 투자 현황
3. 2011년 친환경 자동차 분야 정부 R&D 예산 배분방향
4. 향후 정부 R&D 친환경 자동차 투자전략
5. 결론
References
"
국내 윤활유 산업현황과 자동차용 엔진오일 개발추이,김재수,한국자동차공학회,한국자동차공학회 학술강연초록집,"Vol.-No.-[1990]
",1990,Korean,,556.0,,"학술저널
",http://www.ksae.org,31-34,,,, DBpia,,"하루가 다르게 변모하는 과학기술의 발달과,경제수준의 향상, 소비자의 욕구 다양화 등에 따라, 엔진을 포함한 자동차 관련기술도 끊임없이 변화, 발전되고 있다.
차체 및 엔진 디자인의 계속적인 변화와, 엔진의 고출력화, 연비향상 및 공해방지 대책등을 추진하는 과정에서 절연적으로 파생되는 가흑한(엔진의)요고조건에 부합하기 위하여, 현재의 자동차용 엔진오일은 더욱더 흑십에지는 고온, 고압 조건하에서도 충분히 견디어야 합온몰론, 엔진보호 성능은 더욱 우수해져야 하고 동시에 수명연장 및 연료절약성이 향상되어질것이 요구되고 있다.
이에 부응하기 위하여, 세계의 여러 자동차기술 선진국들은 물론 국내에서도 자동차 제조업체와 윤활유 관련업체물이 상기의 당면과제들을 개선하고자 연구, 개발을 계속하고 있따.
본 편에서는 자동차용 엔진 오일에 관련된 간단한 지식물과 엔진 오일 개발의 세계적인 추세 및 국내 윤활유 산업 현황과 개선방안 등에 관하여 간략히 알아보고자 한다",,"개요
1.자동차용 엔진오일에 관련된 기본지식
2.자동차용 엔진오일 개발의 세계적인 추세
3.CCMC 분류에 의한 변화추세
4.OEM 방식에 의한 변화추세
5.기타"
국내외 자동차 After Market 현황,오재건,한국자동차공학회,한국자동차공학회 Workshop,"Vol.2005No.-[2005]
",2005,Korean,,,,"학술저널
",http://www.ksae.org,160-188,,,, DBpia,,,,"1. 자동차 정비업계의 역사
2. 국내 자동차 정비업
3. 해외 자동차 정비업
4. 자동차 정비업계의 현안 및 문제점
5. 자동차 정비산업의 발전 방향
"
소형자동차 실도로 배출가스 시험 주행 경로의 차량 주행 특성 및 배출가스 배출량 분석,"차우섭(Woosub Cha),이범호(Beomho Lee),김덕진(Deokjin Kim)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2016No.11[2016]
",2016,Korean,"Real Driving Emissions (실도로 주행 배출가스),Driving Characteristics(주행특성),Driving Cycle(주행모드),Nitrogen Oxide(질소 산화물),Moving Averaging Window(이동평균구간),Light Duty Vehicle(소형자동차)",,,"학술저널
",,1200-1206,,,, DBpia,,"국내외 많은 연구기관에서 경유 소형자동차의 실험실 조건과 실도로 주행 조건에서의 배출가스 배출량의 차이에 대한 연구와 측정장비의 개발이 수행되어 왔다. 미국 및 유럽에서 대형 상용차를 대상으로 PEMS(Portable Emissions Measurement System)를 이용하여 실도로에서 배출가스 배출량에 대한 규제가 도입되었으며, 경유소형차에 대해서도 2017년 9월부터 유럽에서 규제가 도입될 예정이며 한국에서도 동일한 시기에 도입을 추진하고 있는 상황이다. 본 연구에서는 경유 소형자동차에 대해 도입예정인 유럽의 실도로 배출가스 측정 법규를 준용하여 2개의 실도로 시험 주행 경로를 개발하여 실도로 주행 시험을 수행하였으며, 국내 소형차의 실도로 주행 특성과 비교하여 유사한 주행특성을 갖고 있음을 확인하였다. 이를 통해 유럽 실도로 시험 규정에서 제시하는 주행 노선의 기준이 국내에 적합함을 확인하였다. 실도로와 실험실에서 측정된 질소산화물의 배출량이 총량 및 MAW(Moving Averaging Window) 분석 방법을 통해 차이가 나타남을 확인 할 수 있었으며, 이는 엔진의 작동영역의 차이에서 기인함을 확인 할 수 있었다.",,"Abstract
1. 서론
2. 시험 주행 경로 개발
3. 실도로 주행과 인증모드의 엔진영역 및 배출가스 비교 분석
4. 결론
References
"
삼륜형 이륜자동차 주행안전 성능에 관한 연구,"임재환(Jaehwan Lim),전영돈(Youngdon Jeon),김성섭(Sungsup Kim)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2014No.11[2014]
",2014,Korean,"motorcycle with three-wheels(삼륜형 이륜자동차),Driving Stability(주행안정성),Compensation Camber(보상캠버),Center of Gravity(무게중심위치),Estimated Maximum Lateral Acceleration(추정한계횡가속도),ADR(호주자동차설계기준),CRC(캐나다자동차안전기준)",,,"학술저널
",,1420-1424,,,, DBpia,,"2개의 바퀴를 갖는 축이 존재하는 삼륜형 이륜자동차는 주로 기존의 이륜자동차의 후축을 개조하여 생계형으로 주로 제작한 형태로 운행되고 있다. 구조 특성 상 4개의 바퀴를 갖는 자동차에 비하여 롤전복 등에 대한 주행안정성이 취약하나, 개조 업체 대부분이 영세한 제작소 수준으로 제작하는 과정에서 기술적인 안전을 고려하는 것이 현실적으로 어려운 실정이다. 이 연구에서는 삼륜형 이륜자동차의 구조 및 주행특성을 분석하고, 무게중심에 기반한 삼륜형 이륜자동차의 주행안전성을 예측하였으며, 시험용 삼륜형 이륜자동차를 제작하여 무게중심 측정을 통한 주행안정성 추정 및 실차시험을 통한 검증을 수행하였다.",,"Abstract
1. 서론
2. 기준?시험방법 조사 및 구조 분석
3. 무게중심높이 측정 및 실차시험
4. 결론
References
"
연료전지 자동차 가상 샤시 플랫폼을 위한 다물체 차량 모델과 단순 차량 모델의 비교 연구,"임용래(Yongrae Im),김성수(Sung-Soo Kim),정완희(Wanhee Jeong),최장영(Jangyoung Choi)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2010No.11[2010]
",2010,Korean,"Fuel cell vehicle virtual chassis platform(연료전지 자동차 가상 샤시 플랫폼),Fuel cell vehicle (연료전지 자동차),Multibody dynamics (다물체 동역학),Permanent Magnet Synchronous Motor (영구자석 동기 모터),Regenerated Brake(회생제동)",,,"학술저널
",,1735-1739,,,, DBpia,,,"A Fuel Cell Electric Vehicle(FCEV) is one of the future vehicle alternating conventional vehicle caused by zero-pollution and higher economical efficiency. Conventional vehicle used the engine with power train but a FCEV uses the motor with power train. In order to develop and evaluation FCEV system in short developing period, a virtual chassis platform of the FCEV is necessary. Virtual simulation tool for existing fuel cell vehicle uses simple vehicle model. Comparative study of multibody vehicle model and simple vehicle model is necessary because the chassis of electrical fuel cell vehicle has different mass distributions comparing with conventional vehicle, due to configuration of a hydrogen tank, fuel cell stacks, heat system, etc. In this paper, a virtual chassis platform has been developed based on multibody vehicle model and mathematically permanent magnet synchronous motor model. The virtual chassis platform has been validated by the stop and go simulation to analyze differences of multibody vehicle model and simple vehicle model.","Abstract
1. 서론
2. 연료전지 가상 샤시 플랫폼 구성
3. 연료전지 자동차 가상 샤시 플랫폼을 위한 모터 시스템 구성
4. 연료전지 자동차 가상 샤시 플랫폼을 위한 다물체 차량 모델
5. 연료전지 자동차 가상 샤시 플랫폼을 통한 동특성 분석
6. 결론
Acknowledgement
References
"
자동차 국제 안전기준 제ㆍ개정 동향 연구,"배중호(Joongho Bae),윤경한(Kyonghan Yoon),용기중(Geejoong Yong),이건복(Gunbok Lee)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2009No.11[2009]
",2009,Korean,"Vehicle Safety Regulations(자동차안전기준),Harmonization(조화),UN/ECE/WP29(자동차 안전기준실무위원회),Global Technical Regulations(세계기술기준),GRE(등화장치분과),GRSP(충돌ㆍ충격분과),GRRF(제동ㆍ주행분과),GRSG(일반안전분과),GRPE(오염ㆍ에너지분과),GRB(소음분과),ECE Regulations(ECE 기술기준)",,,"학술저널
",,1238-1244,,,, DBpia,,,"An automobile has become essential in our daily life. Rapid motorization has adverse effects in safety and envirionment domestically as well as internationally. Thus world-wide regulatory communities endeavor to improve safety, to protect environment, and to save energy by internationally harmonizing vehicle technical regulations. Automotive markets have become global without borders after WTO was established. Vehicle technical regulations emerge as technical barriers to trade(TBT) while customs barrier gave away. From the TBTs point of view international harmonization becomes increasingly important. In this paper the activities of United National Economic Commission for Europe Working Party 29 (UN/ECE/WP29, World Forum for Harmonization of Vehicle Regulations) and trends of development of vehicle technical regulations under 1958 Agreement and 1998 Agreement have been studied.","Abstract
1. 서론
2. 자동차 안전기준 국제조화
3. 1958협정 및 1998협정의 부속기준 현황
4. 자동차 안전기준 제ㆍ개정 현황
5. 최근의 자동차 안전기준 주요 동향
6. 결론
References
"
단일 공정을 통한 자동차 내장부품(Door trim)의 신뢰성 향상 연구,"정선경(Sun Kyoung Jeoung),이평찬(Pyoung-Chan Lee),유승을(Seung Eul Yoo),김보람(Bo Ram Kim),한인수(In Soo Han),조지현(Ji Hyun Cho)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2011No.11[2011]
",2011,Korean,"자동차 내장부품(Automotive Interior),도어트림(Door trim),단일공정(One-step Process),Environmental resistance(내환경성),폴리우레탄(Poly Urethane)",,,"학술저널
",,2575-2580,,,, DBpia,,"최근 자동차 산업에서는 경량화, 친환경, 고감성을 중심으로 자동차용 소재를 연구·개발하고 있다. 자동차의 내장재인 Door trim은 실내장식, 차음, 흡음, 추돌시 탑승자 보호의 기능을 갖는 중요한 자동차 내장부품 중 하나이다. 본 연구에서의 Door trim 제조공정인 단일공정 표피 일체화 기술은 동시 압출-사출 기술(ILC; In-Line Compounding)과 표피 일체화 기술(ISF; Intergral Skin Foam)이 복합된 새로운 개념의 기술이다. 이 기술을 통해 기존 3공정을 단일 공정(ILC+ISF)으로 단순화됨으로서 생산성이 향상될 것으로 기대된다. 또한, Door trim의 개발 소재는 다층의 소재를 단일화하여 재활용이 용이하고 친환경 소재 적용을 통해 환경유해물질(VOCs)이 저감되었다.
  단일 공정 표피 일체화 기술을 이용한 Door trim의 내구성을 평가하기 위하여 기계적인 물성과 내환경성을 측정하였다. 소재와 부품에서 요구 물성을 만족하였고 내환경성 평가 결과 자동차 내장부품으로 적용 가능함을 확인하였다.",,"Abstract
1. 서론
2. 실험
3. 결과 및 토론
4. 결론
References
"
21세기를 대비한 자동차 환경정책 방향,류철상,한국자동차공학회,한국자동차공학회 학술강연초록집,"Vol.-No.-[1996]
",1996,Korean,,556.0,,"학술저널
",http://www.ksae.org,99-110,,,, DBpia,,,,"제1장 자동차오 인해 공해현황
1.자동차 및 대기오염물질 배출량 중가추이
2.자동차 배출가스가 인체 및 환경에 미치는 영향
제2장 자동차공해관리현황 및 한계
1.관리현황
2.배출가스관리의 한계
제3장 자동차공해방지대책
1.자동차공해 관리제도 보완
2.운행차 관리 철저
3.경유차 매연저감 대책 추진
4.연료품질 고급화
5.저ㆍ무공해차 개발ㆍ보급기반 구축"
자동차 부품용 Polypropylene/Glass Fiber 복합재료의 유리 섬유 함량과 시편 취출 위치에 따른 물성 변화 연구,"조수현(soo-hyun Cho),차성운(Sung Woon Cha),서정환(jeong-hwan Seo)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2010No.11[2010]
",2010,Korean,"Automobile Parts (자동차 부품),Polymer (고분자),Polypropylene (폴리프로필렌),Glass Fiber (유리 섬유),Flexural Modulus (굴곡 탄성률),Impact Strength (충격 강도)",,,"학술저널
",,2893-2896,,,, DBpia,,"최근 자동차 분야에서 대두되고 있는 분야 중 하나가 경량화라고 할 수 있다. 자동차의 연비 향상과 온실가스 배출을 줄이는 친환경적 요구에 의해 경량화에 대한 연구가 많은 곳에서 진행 되고 있다. 특히 유리 섬유를 이용한 고분자 복합 재료의 경우 사출 성형을 통해 제조성이 뛰어나며, 우수한 강성과 충격 성능, 치수 안정성, 내열 특성 등을 가지고 있어서 금속 부품을 대체 할 뿐 아니라, 고분자의 사용과 무게는 줄이면서 강성은 유지되는 제품의 제조가 가능하다. 본 연구에서는 자동차용 Undercover를 제조하기 위해 배합시킨 PP/Glass Fiber 복합재료에서 유리 섬유의 비율을 다르게 했을 경우 그에 따른 물성의 변화에 주목했다. 특히 일반 사출 성형 공정이 아닌 압출/사출 동시 공법을 이용한 성형 공정을 통해 유리 섬유가 재료에 미치는 영향을 극대화 시켰다. 또한 실제 대형 자동차 제품을 성형 했을 경우와 같은 조건에서 시험 시편을 제작했다. 또한 평판 형태의 시편에서 필요한 시험 시편을 취출하는 과정에 있어서, 유리 섬유의 배향이나 유동을 고려해서 시편 취출 위치를 다르게 하면서 실험을 수행하였다. 결과적으로 이러한 실험을 통해 알아본 물성들은 현재 자동차 회사에서 제조하는 Undercover 등의 자동차 외장 부품에서 정량적 목표치를 확보하고자 하는 항목들로 정하였다.",,"Abstract
1. 서론
2. 실험
3. 결과 및 분석
4. 결론
후기
References
"
자동차 부품의 내후성 평가 기술 = Weathering Durability Test Technology of the Automotive Parts,"강인묵(Inmook Kang),심기중(Kijoong Sim),이지선(Jisun Lee),박태근(Teagn Park),조철용(Chulyong Cho),오석형(Seokhyung Oh)",한국자동차공학회,한국자동차공학회 지부 학술대회 논문집,"Vol.2009No.10[2009]
",2009,Korean,"Weatherability(내후성),Automotive parts(자동차 부품),UV stability(내광성),Outdoor exposure test(옥외폭로시험),Acceleration test(촉진시험),Ozone(오존),Natural conditions(자연조건)",556.0,,"학술저널
",http://www.ksae.org,39-45,,,, DBpia,,"자동차 플라스틱 부품의 내후성에 대한 신뢰도 확보는 감성품질, 내구품질이 우수한 자동차를 만들기 위해서는 확보해야 하는 기술이다.
국산 자동차에 대한 초기품질은 세계 최고 수준에 이르고 있지만, 촉진내후성에 대한 내구신뢰도 수준은 중하위권에 머무르고 있는 실정으로 내후성에 대한 신뢰도 확보는 고객의 감성지수를 만족시키는 필수적인 요소라 할 수 있다.
본 고에서는 촉진내후성시험의 배경과 함께 촉진내후성시험을 수행하고 있는 군산대학교 자동차부품기술혁신센터(KATIC)의 촉진내후성시험기 및 적용사례를 기술하였다. 관련된 촉진내후성을 평가하는 방법과 관련 장비들은 향후 자동차 플라스틱, 고무 부품 등 고분자 재료를 이용한 부품 개발 및 평가에 활용할 수 있을 것이다.","In this article, weatherability test technology for automotive parts is presented. Weatherability test investigates the degradations by the sunshine, rain and snow, temperature and humidity, Ozone and so on. These tests are categorized in two types. Firstly, outdoor exposure test that is requested the long term and large outdoor test facility. Secondly, acceleration test that is performed in laboratory with the similarly natural conditions. Recently, accelerated test is more often performed to evaluate the weatherability of the automotive parts in terms of the cost reduction and development time. This article is described the test equipments and procedures, which are used in Kunsan National University Automotive Technology Innovation Center(KATIC), and showed the performed test samples. Above described test technology is helpful to the automotive parts developments and enterprise’s competitions.","Abstract
1. 서론
2. 촉진내후성 시험평가
3. 촉진 내후성시험 사례
4. 요약
References"
전기 자동차용 고성능 및 고신뢰성 인버터 개발,"김일한(Ilhan Kim),이선우(Seonwoo Lee),홍찬욱(Chanook Hong),양천석(Chunsuk Yang),김경서(Kyungseo Kim)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2009No.11[2009]
",2009,Korean,"Electric Vehicle(전기 자동차),Inverter(인버터),Power Control Unit(파워 컨트롤 유닛),Powertrain(동력전달장치),Power Density(출력밀도)",,,"학술저널
",,3003-3006,,,, DBpia,,"인버터(inverter)는 고전압 배터리(battery)로부터 에너지를 공급받아 전동기를 제어하는 장치로써, 전기자동차 구동력 제어를 위한 전기 동력전달장치(electric powertrain)의 핵심장치이다. 이러한 전기 자동차용 인버터는 가혹환경 조건에서 고신뢰성을 보장하여야 하며, 차량의 최적 구동을 위하여 전동기를 고속 및 고효율로 제어할 필요가 있다. 본 논문에서는 전기 자동차용 인버터의 출력밀도(power density) 향상, 고신뢰성 확보 및 전동기 최적 제어를 위한 최적 수냉기구 개발 결과와 자동차용 사양(automotive spec.)의 고신뢰성 하드웨어 개발 결과 그리고 전동기의 고효율/고속 제어 기술 개발 결과를 소개한다. 또한 본 논문의 인버터 개발 결과를 적용한 유럽 전기 자동차 전문 메이커의 성공적인 NEV(Neighborhood Electric Vehicle) 개발 사례에 대하여도 다룬다.",,"요약
1. 서론
2. Power Control 부
3. 기구부
4. 전동기 제어
5. 적용 사례
6. 결론
References
"
현대 자동차 승용디젤엔진 기술개발 현황,현대-기아자동차 파워트레인연구소,한국자동차공학회,한국자동차공학회 Workshop,"Vol.2003No.-[2003]
",2003,Korean,,,,"학술저널
",http://www.ksae.org,93-106,,,, DBpia,,,,"파워트레인 개발 환경<br/>
승용 디젤 엔진의 비 출력 증대 추이<br/>
승용 디젤 엔진의 연비 개선 추이<br/>
디젤/가솔린 차량의 실내 소음 수준 비교<br/>
디젤 엔진에 대한 배출물 기준 강화 추이<br/>
이산화탄소 배출량 감축 계획<br/>
파워트레인/차량 중량에 따른 이산화탄소 배출량<br/>
서 유럽 시장의 디젤 승용차 판매 대수 및 시장 점유율<br/>
주요 자동차 제작사의 디젤 엔진 line-up<br/>
현대-기아 자동차의 주요 디젤 엔진 제원 및 적용 기술<br/>
현대-기아 자동차의 주요 디젤 엔진 제원 및 적용 기술<br/>
현대-기아 자동차의 주요 디젤 엔진 제원 및 적용 기술<br/>
EURO-IV 배기 규제 대응을 위한 개발 전략<br/>
2세대 커먼 레일 연료 분사시스템<br/>
가변 터보 차져[VGT]<br/>
가변 터보 차져 작용을 통한 전 부하 성능 개선<br/>
Cooled EGR/Electric EGR Valve System<br/>
EURO-IV 대응을 위한 후처리 시스템<br/>
디젤 엔진의 후처리 장치<br/>
디젤 입자상 물질 필터 [DPF: Diesel Particulate Filter]<br/>
디젤 입자상 물질 필터 적용 관련 주요 과제<br/>
DPF 재생 전략<br/>
연료성상 비교<br/>
연료 중의 황 성분에 따른 입자상 물질 생성 특성<br/>
연료 중의 황 성분에 의한 NOx 촉매의 변환 효율 악화<br/>
결론"
