"아굴절, 亞掘折, sub-refraction",,굴절 기울기가 표준 굴절 기울기보다 큰 굴절. 부분 굴절이라고도 한다. 이로 인해 전파 통로의 곡률 반지름은 표준 굴절의 경우보다 커지게 된다. →굴절률.
"아날로그 역순환 자체 시험, -逆循環自體試驗, analog loop-back self test",,"통신 모뎀의 송신단을 자체의 수신단에 연결한 후 특정한 시험 패턴을 보내고 이를 수신하여 서로 비교함으로써 모뎀의 송수신 회로를 시험하는것. 데이터는 자체 시험 회로에서 모뎀 송신기를 통해 보내진다. 송신기 출력은 모뎀의 수신기로 되돌아오며, 여기서 데이터는 자체 시험 회로로 되돌아간다. 자체 시험 회로는 송신된 데이터 패턴을 수신된 데이터 패턴과 비교하여 모뎀 사용자에게 오류의 유무를 알린다."
"아날로그 연산 회로, -演算回路, analog operational circuit",,"연속 변수에 관한 계산, 기억, 논리 연산 등을 연속 신호의 처리로 시행하는 회로."
"아날로그 음성·데이터 모뎀, -音聲-, Analog Simultaneous Voice And Data, ASVD",,전화 통신망에서 1회선의 아날로그 전화선을 사용하여 데이터와 음성 신호를 동시에 주고받을 수 있는 모뎀. ITU-T V.61 권고에 정의되어 있다.
"아날로그 입력, -入力, analog input",,"전압이나 전류같이 연속적으로 변화하는 정보를 시스템에 입력하는 것. 연속적인 정보를 이산적인 정보인 디지털 숫자로 변환하기 위해 사용되는 장치로는 아날로그-디지털 변환기(ADC-), 다중화기(Multiplexer), 증폭기(amplifier)와 기타 신호 조절 장치 등이 있다."
"아날로그 입력 증폭기, -入力增幅器, analog input amplifier",,하나 이상의 아날로그 입력 채널 뒤단에 붙여지는 아날로그 신호 레벨을 아날로그-디지털 변환기(ADC-)의 입력 레벨에 적합하게 하는 증폭기. &nbsp;
"아날로그 장치, -裝置, analog device",,"①연속적으로 변화하는 아날로그 신호인 물리량을 처리(측정, 기록 및 재생산)는 아날로그 기계 및 아날로그 매체의 결합 장치. ②아날로그 컴퓨터의 경우, 전압 또는 전류에 의하여 연속적인 수치를 나타내게 하는 회로."
"아날로그 전송, -傳送, analog transmission",,음성 등의 각종 아날로그 신호를 전송하는 것. 전송로를 유효하게 사용하기 위하여 주파수 분할 다중 방식(FDM)으로 전송하는 경우가 많다.
"아날로그 전용 회선, -專用回線, analog leased circuit",,"주파수 대역별로 규격화하여 임대하는 전용 회선. 아날로그 전용 회선은 크게 전화급 회선, 광대역 회선, 라디오 방송 회선의 3종류로 분류되고 다시 몇 개의 규격으로 세분된다. 전화급 회선은 주파수 대역 0.3~3.4kHz의 회선으로 전화 및 9,400bps 이하의 데이터 통신에 사용된다. 광대역 회선은 주파수 대역 60~108kHz의 회선으로 전화, 팩스, 데이터 통신 등을 동시에 전송하는 데 사용된다. 라디오 방송 회선은 주파수 대역 0.3~15kHz의 회선으로 AM 방송과 FM 방송 중계에 사용된다. &nbsp;"
"아날로그 전화 어댑터, -電話-, Analog Telephone adapter, ATA",,"컴퓨터에 일반 표준 전화를 연결하기 위해 사용되는 장치. 전화기와 컴퓨터를 연결하되 아날로그 디지털 변환기(ADC) 기능이 있어 인터넷 전화(VoIP)와 직접 연결한다. 간단한 것은 RJ-11 잭으로 전화기나 팩스와 연결하고, 유에스비(USB) 커넥터로 컴퓨터와 연결하며, 인터넷 통신을 하기 위해서는 음성을 디지털화하는 소프트웨어가 필요하다. 또한 10/100BASE-T 이더넷 허브나 스위치와 연결하는 RJ-45 잭을 가진 것도 있으며, 랜(LAN)에 연결하기 위해 사용된다. VoIP 서버와 통신에는 H.232나 SIP와 같은 프로토콜을 사용한다."
"아날로그 집적 회로, -集積回路, analog integrated circuit",,"입력량에 대응하여 출력량이 연속적으로 변화하는 특성을 지니며, 값이 시간적으로 연속되는 전기 신호의 증폭, 발진, 변환, 연산, 필터링 등의 기능이 있는 집적 회로. 직결형, 차동 증폭 회로가 기본이 되어 있다."
"아날로그 출력, -出力, analog output",,"전압이나 전류같이 연속적으로 변화하는 정보를 출력으로 하는 것. 디지털 출력과 반대로 진폭은 계속적으로 자극에 비례하며, 그 비율은 장치의 분해력에 따라 제한된다."
"아날로그 출력 장치, -出力裝置, analog output device",,"컴퓨터에서 처리한 결과를 이용하여 다른 장치를 조작할 경우에, 사람의 개입 없이 직접 연속적인 정보를 출력시킬 수 있는 출력 장치. 디지털-아날로그 변환기(DAC)라는 장치가 포함된다."
"아날로그 출력 채널 증폭기, -出力-增幅器, analog output channel amplifier",,"하나 이상의 아날로그 입력 채널 후단에 설치되어, 디지털-아날로그 변환기(DAC)의 출력 신호 범위를 프로세스를 제어하기 위해 필요한 신호 레벨에 적합하게 하는 증폭기. 서브 시스템 중에 공통의 DAC가 있을 때 증폭기는 표본화(sampling) 유지 장치의 기능을 다한다."
"아날로그 컴퓨터, analog computer",,"전압, 길이, 전류, 온도 등의 아날로그 정보를 받아들여 산술 연산을 하는 컴퓨터. 정밀도와 능률면에서는 비효율적으로 발전소의 자동 주파수 안전장치 설계, 항공기의 조종 안정성 연구나 구조물,건축물 진동의 시뮬레이션 등 한정된 분야에서만 사용된다."
"아날로그 통신망, -通信網, analog communication network",,"음성이나 화상 등과 같은 아날로그 정보를 진폭, 위상, 주파수 변조 형태로 전송하는 통신망."
"아날로그 팩스, analog facsimile",,"주사한 그림의 백(white) 또는 흑(black)의 길이, 농도 등을 아날로그 신호 그대로 변조하여 전송하는 팩스. G2 팩스는 아날로그 팩스이다."
"아날로그 표시 서비스 인터페이스, -標示-, Analog Display Service Interface, ADSI",,"아날로그 전화 통신망에서 영상 전화와 같이 음성과 데이터 서비스를 제공할 수 있는 기술. 1993년 벨코어에서 개발하였다. ADSI는 소형 디스플레이 화면을 가진 특수 전화기나 종합 유선 방송(CATV) 가입자 신호 변환 장치, 개인용 정보 단말기(PDA), 페이저(pager), 전화 응용 프로그램이 있는 개인용 컴퓨터(PC) 등에 장착된다. ADSI 응용 프로그램에는 송화자의 이름과 전화번호를 표시하는 기능, 선택에 따라서는 새로운 호출, 음성 메일 호출, 대기 중 호출, 메시지 재생, 현재의 호출 중단 및 새로운 호출 기능도 있다. 또한 영상 음성 메일, 영상 디렉터리, 이메일 브라우징, 각종 일정 프로그램 등도 있다.&nbsp;"
"아날로그 표현, -表現, analog representation",,"데이터를 표시하는데 연속적으로 변화하는 물리량 즉, 아날로그 형태의 변수 또는 값으로 표현하는 것.불연속적으로 표시하는 디지털 표현(digital representation)과 대비된다."
"아날로그 회로, -回路, analog circuit",,"아날로그 신호의 발생, 증폭, 검파, 변환, 그 밖의 처리를 하는 전자(電子) 회로."
"아날로그 회선망, -回線網, analog network",,"미국 AT&amp;T의 No.1A 교환기 및 벨기에 BTM사의 M10CN 등 공간 분할형의 반전자식 아날로그 교환기와 아날로그 전송로를 주체로 구성한 통신망. 기존의 전화 회선망이 그 대표적인 예이다. 그러나 기술 발전에 따라 이러한 아날로그 회선망은 스웨덴 에릭슨사(Ericsson)의 AXE-10, 미국 AT&amp;T의 No.4 ESS, No.5 등 시분할형 전전자식 디지털 교환기 등장과 디지털 전송로에 의해 디지털 통신망으로 교체되었다."
"아다마르 변환 부호화, -變換符號化, Hadamard transform coding",,"직교 변환 부호화 방식의 하나. ＋1, -1의 성분으로 이루어지는 아다마르 행렬을 사용하여 변환한다. 1차원 아다마르 변환에서는 8차, 16차가, 2차원 아다마르 변환에서는 세로 가로 각각 4차, 8차의 16차(4×4), 32차(4×8), 64차(8×8)가 자주 사용된다. 하드웨어 구성이 단순하기 때문에 가장 많이 사용되고 있다."
"아두이노, Arduino",,오픈 소스를 지향하는 마이크로 컨트롤러(micro controller)를 내장한 기기 제어용 기판. 컴퓨터 메인보드의 단순 버전으로 이 기판에 다양한 센서나 부품 등의 장치를 연결할 수 있다. 컴퓨터와 연결해 소프트웨어를 로드하면 동작을 하게 되므로 제어용 전자 장치부터 로봇과 같은 것을 만들 수 있는 '오픈소스 하드웨어'라고 할 수 있다. 자유 소프트웨어 운동에서 출발한 오픈 소스라는 개념을 하드웨어 부문까지 확산시킨 것이다.
"아랍 위성 통신 기구, -衛星通信機構, Arab Satellite Communication Organization, ARABSAT",,"아랍 국가 연맹의 22개 회원국이 아라비아 반도 및 북아프리카 지역에서 위성 통신 서비스를 제공하기 위해 설립한 컨소시엄. 아랍샛(ARABSAT) 시스템은 1985년에 발사된 1개의 주 위성과 1개의 예비 위성(동경 19°와 26°에 각각 위치) 및 지상 예비 위성 등 3개의 위성과 지상 관제 시설로 구성되어 있다. 주 위성은 8,000회선의 지역 내 국가 간 전화 회선을 제공할 수 있는 25개의 C 밴드 트랜스폰더를 탑재하고 있으며, 그중 11개를 국내 통신과 TV 방송 등에 사용하고 있다. 이 기구의 운용은 자본 총액의 70% 이상을 소유하고 있는 사우디아라비아와 리비아 등 5개국 대표 등으로 구성되는 집행 위원회가 총괄하며, 본부는 리야드에 있다."
"아랍 전기 통신 연합, -電氣通信聯合, Arab Telecommunication Union, ATU",,"아랍 국가 간의 전기 통신 활동을 협의 조정하고, 국제 전기 통신 연합(ITU) 등 전기 통신 관련 국제 회의 및 지역 회의에서 아랍 국가의 이해와 입장을 조정하고 대변하는 기구. 전기 통신 분야의 연구 요원을 훈련하고 정기 간행물도 발간한다. 본부는 이라크 수도 바그다드에 있다. 가맹국 수는 22개국이며, 주요 기관으로는 전권 회의(매 3년마다 개최), 실행 회의(매년) 및 자문 회의가 있다."
"아래 흘림, underflow",,"산술적 연산 중에 발생한 값이 너무 작아서 레지스터에 저장될 수 없거나 결과를 받아들이는 위치에 저장될 수 없는 상태, 또는 기수법의 범위에서는 표시할 수 없는 것과 같은 상태."
"아래 흘림 표시, -標示, underflow indication",,계산기가 아래 흘림 상태에 있음을 표시하는 시각적 표시.
"아르고 위치 지시 송신기, -位置指示送信機, Argo Position-Indication Transmitter",,"위치 지시 송신기의 하나. 아르고 송신기라고도 하며, 전체 무게가 15g으로 세계에서 가장 작고 가볍다. 국제 조류 보호 단체인 BLI(Bird Life International)와 일본 야조회(野鳥會)의 공동 요청으로 일본 NTT에서 개발, 제작하였으며 큰도요새(오스트레일리아에서 월동 후 한국, 일본, 중국을 거쳐 중국 동북부, 러시아에서 번식하는 크기 60cm, 체중 약 800g의 철새)의 해상 이동 경로를 추적하기 위한 것이다. 이 소형 송신기를 큰도요새에 부착할 때는 그 중량이 야생 조류 체중의 4%(미국 조류학자가 경험적으로 구한 수치임) 이하로 될 수 있으면 크기가 작을수록 유리하다. 월동지인 오스트레일리아 동해안에서 이 송신기를 부착한 후 위성 추적으로 이동 경로를 확인하고 있다."
"아르에프(RF) 스펙트럼, -, Radio Frequency(RF) spectrum","동의어 : radio spectrum, electromagnetic radiation spectrum, radio wave","전자파(또는 전자기방사스펙트럼) 내에서 인위적 유도(誘導) 없이 공간으로 퍼져 나가는 국제전기통신연합(ITU)이 정의한 3 THz 이하의 스펙트럼.전자파(electromagnetic wave)는 아르에프(RF) 스펙트럼(또는 전파)을 포함하여 적외선, 가시광선, 자외선, X선, 감마선 등 모든 주파수를 말한다. 이중 RF 스펙트럼은 통상적으로 3 THz 이하의 주파수 범위에 해당한다. * ITU는 RF 스펙트럼을 3 THz 이하에 있는 임의의 주파수 범위로 정의한다. (ITU Radio Regulations-16(RR-16): radio waves(or radio-electric spectrum) is defined as electromagnetic waves of frequency arbitrarily lower than 3,000 GHz, which are propagated in space without artificial guide.) * 전파와 RF 스펙트럼은 동일하지만 전파는 파장의 관점에서, RF 스펙트럼은 주파수 관점에서 사용한다. RF 스펙트럼은 ITU 전파 규칙(RR)에 따라 주파수 대역별로 용도를 규정한다. 이에 따라 우리나라도 전파법에 따라 8.3 kHz~275 GHz 범위의 주파수를 관리한다. 전파통신 기술이 발전하면서 RF 스펙트럼의 이용 범위는 점차 높은 대역으로 확장되고 있다. 2017년 ITU-R report(F.2416-0)는 275 GHz~450 GHz 대역의 점대점(Point-to-Point) 고정통신에 관한 사항을 다루었다. 1864년 스코틀랜드의 제임스 맥스웰(James Maxwell)이 전파가 존재한다는 맥스웰 방정식을 유도한 이후 1887년 독일의 하인리히 헤르츠(Heinrich Hertz)가 실험을 통하여 전파의 존재를 입증하였다. 이후 굴리엘모 마르코니(Guglielmo Marconi)가 대서양을 횡단하는 전파통신을 성공하면서 본격적인 전파통신의 시대가 열렸다. 특히 1948년 클로드 섀넌(Claude Shannon)이 ‘통신의 수학적 이론(the mathematical theory of communication)’을 발표하면서 디지털 통신은 물론 정보이론, 확산 스펙트럼(spread spectrum) 등 디지털 세상을 탄생시켰다. RF 스펙트럼은 이동통신, 방송, 와이파이(Wi-Fi) 그리고 레이더 등에 다양하게 사용하며. 4차 산업혁명을 구현하는 데에 핵심 자원이다."
"아리랑 위성, -衛星, Arirang Satellite",,"우리나라 최초의 다목적 실용 위성. 정밀 지도 제작, 지리 정보 시스템(GIS), 국토 관리, 재해 예방(기상 예측, 환경오염, 수해, 산불 감시, 조난 구조 등)에 사용되는 위성이다. 아리랑 1호는 1999년 12월에, 2호는 2006년 7월에, 3호는 2012년 5월에 발사되었다."
"아리아, ARIA",,"국내 전자정부 안전성 강화를 목적으로 국가표준(KS)으로 개발된 128비트 범용 블록 암호 알고리듬. 전자 정부 구현으로 국가기관과 민간(G2C: Government to Citizen) 간 자료 소통의 필요성과 이의 정보보호를 위하여 초경량 환경에 효율적이고 또한 하드웨어 구현에 최적화를 고려하여 개발되었다. ARIA는 고급 암호화 표준(AES: Advanced Encryption Standard)의 규격을 따르고 다양한 환경의 구현에 적합하도록 설계되었으며 키 크기에 따라 각각 ARIA-128, ARIA-192, ARIA-256으로 표기 가능하다. ARIA는 학계(Academy), 연구소(Research Institute), 정부 기관(Agency)의 머리글자를 따서 만들었다."
"아마야, Amaya",,"월드 와이드 웹 컨소시엄(W3C)이 시험용 및 실용 도구로 개발한 웹 에디터.하이퍼텍스트 마크업 언어(HTML) 편집기와 뷰어(viewer)로 되어 있고, 리눅스나 윈도즈 95/NT/2000 운영 체제에서 사용되며, 자유 공개 소스 소프트웨어(FOSS: Free and Open-Source Software)로서 소프트웨어 개발자들이 명령어를 추가∙변경하거나 기능을 확장할 수 있다. 수학 마크업 언어(MathML)와 같은 복잡한 수식 명령어 제작용 인터페이스를 개발하는 시험용 플랫폼 기능도 있다."
"아마존, Amazon",,"미국 콜로라도에 본사를 둔 세계 최대의 인터넷 서점. 통신 온라인 서점 분야에서 90% 이상의 점유율을 가지고 있으며, 서적 외에도 비디오, 디지털 비디오 디스크(DVD) 등 1,800만 개 이상의 각종 제품을 팔고 있다. 2000년 8월 마이크로소프트사와 전자책 판매에 제휴를 맺은 데 이어 아메리카 온라인(AOL)과도 제휴함으로써 시장 확대를 노리고 있다."
"아마추어 무선국, -無線局, amateur radio station",,개인적으로 무선 기술에 흥미를 가진 사람이 무선 통신을 하기 위하여 개설하는 무선국. 각 아마추어 무선국에는 사용 주파수대가 지정되어 있다.
"아마추어 무선 업무, -無線業務, amateur service",,"금전상의 이익을 위해서가 아니라 개인적인 무선 기술에 대한 흥미를 위해 행하는 자기 훈련, 통신 및 기술 연구 업무. 아마추어 무선은 1902년경부터 유럽과 미국 등에서 시작되었으며 무선 기술의 발전에 공헌한 바도 크다. 아마추어 업무용 주파수는 MF, HF, 초단파(VHF), 극초단파(UHF), EHF, SHF대 등에 고루 지정되어 있다."
"아마추어 위성, -衛星, amateur satellite",,"아마추어 무선 업무용으로 사용되는 통신 위성. 아마추어 무선국 상호 간에 위성을 경유하여 원거리 통신을 가능하게 하는 위성을 말한다. 아마추어 위성은 정지 궤도 위성이 아니고 저궤도 선회 위성이다. 현재 운용 중인 아마추어 위성으로는 미국 아마추어 위성 협회(AMSAT)의 오스카(OSCAR) AO-7, AO-10, AO-40과 일본 아마추어 무선 연맹(JARL)의 JAS-1b, JAS-2, 러시아의 RS-15 등이 있고, 기타 일부 대학교나 연구기관에서 쏘아 올린 아마추어 위성이 운용되고 있다."
"아마추어 주파수대, -周波數帶, frequency band for amateur radio",,"아마추어 무선용으로 사용토록 지정된 주파수대. 아마추어 무선의 국제성 및 공익성을 고려해서 국제 전기 통신 연합은 1,812.5㎑/250㎓대에서 23개 대역을 아마추어용으로 분배, 각국의 실정에 따라 사용토록 하고 있다. 우리나라는 23개 대역 중 3.5, 7.0, 10.1, 14.0, 18.068, 21.0, 24.89, 144.0㎒대 등 8개 주파수대를 재난 구조 통신용으로도 사용할 수 있도록 했다. 또한 2.4, 5.65, 24㎓대는 공업/과학/의료용(ISM)의 1차 업무로 분배되어 있으므로 본 대역에서 아마추어 무선을 운용할 때에는 ISM 설비로부터의 유해한 혼신을 용인하여야 한다."
"아마추어 패킷 무선, -無線, amateur packet radio",,"아마추어 통신에서 컴퓨터를 이용해 운용하는 패킷 무선 통신. 아마추어 패킷 무선은 디지피터라는 중계기와 메일 박스 및 기타 전용 장치로 운용하는 아마추어 무선 컴퓨터망이다. 단파대와 같은 장거리 통신에서는 페이딩 및 잡음이나 혼신 등 취약점으로 인해 사용하기 부적절하고, 초단파대 이상에서 더 효과적이다. 그러나 인터넷 출현으로 사라지기 시작하여 DX 패킷 클러스터나 위성 위치 확인 시스템(GPS) 기술과 결합한 자동 위치 보고 시스템(APRS)용으로 일부 쓰이고 있으며, 단파대에서도 일부 국가에서 해외 통신에 사용되고 있다."
"아메리카 온라인, America Online, AOL",,"미국에서 가장 많은 사용자를 확보하고 있는 PC 통신망의 하나. 전자 우편, 공개 자료실, 뉴스, 금융, 동호회, 온라인 게임, 백과사전 등 다양한 서비스를 제공하고 있다. 멀티미디어 서비스에 강해서 인기가 높고, 인터넷 접속 서비스도 적극적으로 제공하고 있다."
"아바타, avatar",,"①인터넷 가상 공간이나 가상 현실 게임 등에서 자기 자신을 나타내거나 치장하기 위해 사용하는 사진이나 그림, 3차원 영상 등 애니메이션 캐릭터. 아바타는 고대 인도에서 신의 화신을 지칭하는 말로서, 사이버 공간에서는 유니콘, 파랑새, 사이버 인형, 기타 신비적이고 창조적인 화신들이 사용자를 대신하는 일종의 자기 상징 캐릭터로 사용된다. ②유닉스(UNIX) 운영 체계에서 사용하는 운용 관리자(super user) 계정의 이름. 다른 이름으로는 루트(root)가 있다."
"아밥, Advanced Business Application Programming, ABAP",,"독일 SAP사가 개발한 기업용 R/3 시스템의 응용 프로그램 개발을 위한 프로그래밍 언어. ABAP은 코볼과 유사한 언어로 객체 지향 모델이 확산되기 이전 부터 사용되어 왔으나 사용자들이 객체 지향 모델로의 전환을 요구하여 최신 버전인 ABAP Objects는 객체지향 프로그래밍 언어(OOP)로 확장되었다. ABAP Objects는 단일 계승 모델을 사용하여 캡슐화, 폴리모피즘, 영속성과 같은 객체 특성을 완전 지원한다."
"아빌렌망, -網, Abilene network",,미국 130개 대학이 참가하는 차세대 인터넷망. 연구/교육용 고속 네트워크 인프라를 제공해 최신 인터넷 기술이나 고도 애플리케이션을 활용/연구한다. 인터넷 차세대 프로토콜인 IPv6나 QoS를 활용한 IP 애플리케이션 등의 개발을 목적으로 한다. 대학 간의 비영리 컨소시엄인 UCAD(University Corporation for Advanced Internet Development)를 모체로 인터넷 2 프로젝트에서 이용하는 기간망의 중심인 아빌렌망은 미국 신흥 장거리 통신 회사인 캐나다 노텔 네트워크(Nortel Network) 등으로부터 무상으로 기기를 제공받는다. 1999년 2월에는 북미 대륙을 횡단하는 2.4Gbps급 회선이 부설되었다. 또 미국 정부 주도의 차세대 인터넷 계획(NGI:Next Generation Internet)을 추진하기 위한 기간망(VBNS)과 상호 접속하도록 되어 있다.
