year,title,keyword,abstract,가능,개발,결과,관련,기반,기술,기존,논문,대상,목적,발생,방법,변화,분석,사용,산업,시스템,연구,영향,이용,자동차,자율,적용,제시,제안,주행,중요,증가,진행,차량,최근,특성,필요,확인,환경,활용,효과
2020,자동차용 강판의 스폿용접 전극수명예측 알고리즘 개발 = Development of Algorithm for Predicting the Electrode Life of Spot Welding on Automotive Steel Plate,"Spot welding(스폿 용접),Electrode life(전극 수명),Galvanized steel plate(아연도금강판),Dynamic resistance(동저항),Image data(이미지 데이터)","Spot welding is a representative process in automotive welding and the application of intelligent systems is accelerating. In particular, in the case of welding electrode management, the timing of electrode wear and dressing was determined by continuous spot welding evaluation, however there is concerned that errors in welding equipment or processes may work in a complex manner. In this study, a dynamic resistance waveform sensing and image measurement system that greatly affects the nugget formation, which is important to the quality of spot welding, was fabricated and used. Based on the experimental data of the galvanized steel sheet, an electrode life prediction algorithm for electrode wear was derived through CNN(Convolutional Neural Network) model of machine learning training.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,자동차 배출가스 정밀검사 결과를 이용한 운행차 배출가스 저감사업 추진효과 분석 = Analyzing Performance of Emission Reduction Program based on Inspection and Maintenance Program Data,"Vehicle emission reduction program,Inspection and maintenance program,Diesel particulate filter","In metropolitan area, automobile is the main source of air pollutant emission. To reduce the impact of on-road and non-road mobile source to atmosphere, vehicle emission reduction program came into force based on 「Special act on the improvement of air quality in Seoul metropolitan area」 which was established in 2004. The emission reduction program is categorized into 3 parts; exhaust reduction equpment attachment (DPF, p-DPF, DOC), engine modification and early scrapping. According to 「Clean air conservation act」 , the owner of vehicle registered in Seoul metropolitan area shall undergo a sophisticated inspection of exhaust emissions emitted from in-use motor vehicles every one or two years (Inspection and Maintenance Program). This paper analyzed the result of vehicle emission reduction program in Incheon metropolitan city comparing the result of IMP during 2016~2018. As most of the vehicles in this program applied DPF, the analysis is focused on the effect of DPF equipment. Since the reduction program begun, we could see the average levels of vehicle emission decreased especially among heavy-duty truck, heavy-duty van and small van. And it showed that once the reduction program is applied, the emission of vehicles increased with the passage of time. These results indicate the efficiency of exhaust reduction equipment to reduce the emission and the importance of ex post facto management of the equipment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,자동차 시트벨트의 과도응답 특성에 관한 연구 = Transient Response Characteristics of Vehicle Seatbelt,"Seatbelt(시트벨트),Vibration(진동),Nature Frequency(고유 진동수),Mode Shape(모드 형상),Transient Response Analysis(과도응답 해석)","In recent years, as a consequence of the technological advancements in the automobile industry andchanges in consumer demands, the reduction of noise inside vehicles rather than vehicle performance hasincreasingly become an important factor of interest. To date, most studies have focused on noise andvibration reduction techniques for the engine and drive system of vehicles. In this research, a comparativeanalysis for reducing the effect of vehicle seatbelts on the transient response is performed using the test ofvehicle conditions and transient response analysis in accordance with seatbelt conditions. After the sensitivityanalysis, the specifications for improvement were designed based on the transient response analysis. It wasconfirmed that the transient response characteristics were improved by the transient response analysis andvehicle conditions test. Through computer-aided engineering, the transient response characteristics of seatbeltswere checked with less cost and time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,자동차 커플러 부품(Al5052-H32)의 프로그래시브 드로잉 공정 시 두께 변화 고찰 = Consideration of thickness change during progressive drawing process of automotive coupler parts(AL5052-H32),"Deep drawing,Die pad,Ironing,Push back method,Product thickness","Progressive drawing processing is one of the manufacturing processes used to mass-produce a variety ofproducts on the industrial site. In this study, the goal is to achieve a uniform product thickness of at least 1.3mm byreducing the wall thickness of the coupler parts used in automotive air conditioning systems to within 15% usingA5052-H32 materials. The progressive die was designed using Blank's law of volume invariance. Due to thecharacteristics of the drawing process, the material thickness in the punch R part decreases and the thickness in the dieR part increases. When designing the progressive die of the coupler part, an ironing method, a push back method, anda stand-alone die pad method were applied to each process to design a mold in consideration of the drawing rate andto artificially adjust the thickness change. The suitability of the method used in die design was investigated by measuringthe thickness change of forming parts for each process. In the final part, it was confirmed that the thickness measurementvalues of the five regions of a radial line were implemented as 1.34-1.36 mm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,자동차 쇼크업소바 제조사업장의 작업자 노출 유해인자의 종류 및 노출수준의 경시적 변화 = Types of Hazardous Factors and Time-trend of Exposure Levels from the Working Environment at a Shock Absorber Manufacturing Facility,"automobile,noise,shock absorber,time-trend,work environment","Objective: This study examines the types of hazardous factors in the working environment and the time-trend for their exposure levels over 10 years (2007 to 2016).
Study Design and Method: The types of hazardous factors and exposure levels were drawn from the 19 measurement reports on the working environment over 10 years at a shock absorber manufacturing facility. Risk assessment of the types of factors and time-trend of exposure levels were evaluated using the factors and exposure levels.
Results: A total of 34 hazardous factors were evaluated. The types were noise, 15 organic compounds, seven kinds of acid sand alkalis, eight kinds of heavy metals, and three other compounds. Special management materials used were nickel, hexavalent chrome, and sulfuric acid. Human carcinogens (1A) used were trichloroethylene, nickel, and sulfuric acid. There were six types of substances belonging to the IARC's 2B (body carcinogens) classification or higher, including, methyl isobutyl ketone, ethyl benzene, and trichloroethylene. No detection was found for 627 out of the 2065 total measurements in 19 exposure survey reports, representing 30.4%. Organic solvents, acid and alkali products, and heavy metals showed continuous low exposure concentrations. Noise, welding fumes, and the evaluation of mixed solvents show a gradual decrease in geometric mean and maximum over the time-trend of 10 years.
Conclusions: In the case of a shock absorber manufacturing facility, the hazardous factors of noise and the evaluation of mixed solvents still indicate high concentrations exceeding the exposure limits and necessitate reduction studies. These two factors and welding fumes showed a continuous decrease in their ten-year tendency. Organic compounds, acids/alkalis, and heavy metals were managed smoothly in a work environment of continuous low concentrations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,자동차 배출가스 중 BTEX의 비율과 C2-benzenes의 상관성 연구 = A Study on the BTEX Ratio and Correlation of C2-benzenes in Vehicle Exhaust,"BTEX(Benzene,Toluene,Ethylbenzene,Xylene),T/B ratio,X/E ratio,C2-benzenes,Vehicle Exhaust","Benzene, toluene, ethylbenzene and xylene (BTEX) were well known as ozone precursors from photochemical reactions and contribute to the formation of photochemical smog which pose health hazards. Also, some of these compounds directly affect the human health due to their toxicity such as benzene. In this study, BTEX ratios and correlation of C2-benzenes (xylenes, ethylbenzene) in vehicle exhaust from recreational vehicle (RV) and multi-purpose vehicle (MPV) were characterized using a chassis dynamometer. VOCs were collected by tedlar bag and a GC/MS system was used for their quantification.
Among all of the BTEX, toluene has the highest concentration(more than 30% in composition of BTEX). The average ratio of toluene to benzene emissions (T/B ratio=2.2) was found in vehicle exhaust. The average m,p-xylene/ethylbenzene and m,p-xylene/o-xylene ratios were 1.0 and 3.0 respectively. As a result, it showed a good correlation between the C2-benzenes (R2=0.98~0.99). In the future, it can be used as a marker for effect evaluation to atmospheric environment by vehicle exhaust.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,자동차 토크앵글센서(TAS)의 평면 정밀도에 관한 연구 = A study on the flatness of automotive torque-angle sensors,"Flatness,Geometry,Precision,Statistics,Torque-angle sensor","In this study, we proposed three analysis methods to calculate the flatness of torque-angle sensors (TAS). We introduced two statistical and one geometrical methods in evaluating the precision of the flat plane in the axis direction for TAS. To verified the results, we fabricated TAS and a reference sample using a injection molding machine, mold, polyester as a raw material. We measured ($x_i$, $y_i$) position using 3D contact automated system and applied three analysis methods developed for TAS and a reference sample to see the feasibility. While each analysis method has its own pros and cons, the analysis using the shortest optimal distance was the most precise technique for the flatness evaluation of TAS components.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,자동차용 터보 차저 주조품의 충전해석,"AnyCasting&lt,SUP&gt,TM&lt,/SUP&gt,Shell Casting Method,Turbo Charge Housing,Filling Analysis","In this study, AnyCasting<SUP>TM</SUP> program was used to analyze shrinkage cavity and bubble to product of turbo charge housing for gasoline automobiles and minimization of defects in that product by the shell casting method. In order to perform this method, the modeling of casting mold consisted in gate, runner, cavity and riser. The shell casting type was a gravity casting and the casting design analysis was conducted by two cases. One produced two cavities to one mold, and the flange of product faces upwards with putting riser and overflow to end part. The other changed the flange direction of product faces sideways with rotation of 90 degrees in the case 1. The results are expected to minimize the vacancy and shrinkage of turbo charge housing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,자동차용 모바일 폰 충전 케이블의 발화 안전성에 관한 연구,"USB cable Combustion, Charging cable, LED burned, Secondary car accident connected, Simulation test with abnormal fault condition","This paper describes result of a study on safety against a fire of charging cable for mobile phone for vehicle. Combustion on the USB cable in the car was happened while driving. Gas coming from the burning USB cable could be a reason which can make a secondary car accident since the driver also can be embarrassed while driving. In order to prevent a secondary car accident connected on the road, to research a reason why USB cable can emit gas and be burned in charging. We did simulation test with abnormal fault condition for the electronic component on the board in the USB cable. So we get the result from abnormal fault condition simulation test, for instance, shorted test for output terminal of 8 pin switch, shorted test for chip resistor after thermal aging in the condition 25 ℃ , 93 % RH during 48 hours. To analysis the result of all test, Combustion on the USB cable was not the 8 pin but other electrical component such as a chip resistor. Therefore we guess that the reason for USB cable combustion in charging in a car was not 8 pin and a LED but another defective component.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,폐자동차 파쇄잔재물(ASR) 재활용 시설의 에너지 회수효율 적용성 평가,"Automotive shredder residue, ASR, Energy recovery, Lower heating value","Domestic automotive shredder residue (ASR) recycling facilities must comply with 60% of the energy recovery criteria calculated by the waste control act, based on resource circulation of electrical and electronic equipment and vehicles. The method of calculating energy recovery criteria was newly enacted on November 6, 2017, and it has been judged that it is necessary to consider applicability. In this study, the energy recovery efficiency of 7 units was calculated by past and present calculation methods. Furthermore, this study attempts to find applicability and a method of increasing the energy recovery efficiency by taking advantage of available potentials. An analysis of the calculation results showed that the average values calculated by past methods, present methods, and the method that includes available potentials are 76.35%, 70.68%, and 78.24%, respectively. Therefore, the new calculation method for energy recovery efficiency is also applicable to domestic automotive shredder residue recycling facilities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,자동차 에어 브리더의 형상에 따른 유동해석을 통한 융합연구," 에어 브리더, 형상, 공기 저항, 공기 유량, 융합 연구, Air breather, Configuarion, Air resistance, Air flow, Convergence study","본 연구에서는 차체의 Air Breather 형상에 따른 유동 해석을 통해 진행되었다. 유동이 차체에 미치는 저항력이 연구됨에 따라 전력 감소를 줄일 수 있다고 발표되고 있다. Air Breather 내부의 압력을 평가할 때 차체 내부의 유속을 높일 수 있도록 효율에 대한 연구가 되어 있다. 총 5가지 모델에 있어서는, 형상에 따라 공기 저항과 압력이 다르게 일어나며 측류 공기의 압력이 변하는 것이 보인다. 본 연구 결과는 ANSYS 해석 프로그램을 이용하여 해석 하였으며, CATIA V5 모델링 프로그램을 사용하여 연구 모델을 모델링하였다. Air Breather 형상의 곡면이 많아지면 공기 유동 속도가 균일하게 분포하는 것을 고찰하였다. Air Breather의 공기 저항 및 유량에 대한 영향을 고려하여 에어 브리더 설계하는 것이 가장 효율적인 설계방법으로 사료된다. 또한 차량의 에어브리더 형상 설계를 통하여 제품 설계 시 디자인과의 융합을 통하여 미 적인 감각을 나타낼 수 있다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,자동차 도어보강재의 경량화 및 충돌특성 향상을 위한 형상 최적화 연구 = Study on Shape Optimization of Automotive Door Impact Beam for Light Weight Design and Improved Crash Performance,"automotive door impact beam,crash performance,lightweight design,hot stamping,one-piece door impact beam,pipe shape","A study on shape optimization of a hot-stamped automotive door impact beam for lightweight design and improved crash performance was conducted using a static collision analysis based on FMVSS 214.
An integral type one-piece door impact beam of bracket parts and pipe was realized using hot stamping technology. The method involves the heating in the austenite region and subsequent hot forming and quenching in a specially designed stamping tool with hydraulic system. A one-piece door impact beam is 6.8% lighter than a three-piece door impact beam because it eliminates two bracket parts. The one-piece door impact beam was hot-stamped with dies without cooling channels inside the dies, and revealed a Vickers hardness higher than 430 and a fully martensitic microstructure. Two one-piece door impact beams, with a straight pipe with circular cross section and a straight pipe with partially circular and partially elliptical cross section in the middle part of the pipe, were used for the collision analysis. The door impact beam with partially circular and partially elliptical cross section showed less plastic strain in the middle part of the pipe compared with the circular pipe, leading to better intrusion property. Intrusion analysis results also showed that the three-pieces door impact beam fractured at a 336 mm displacement due to excessive plastic strain in the welded part between the bracket and pipe. In contrast, the integral type one-piece door impact beam without welding did not show any fracture, even at a 457.2 mm displacement, confirming the better performance against lateral collision.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,자동차 센터페시아 디스플레이의 감성적 설계: 지역별 선호를 중심으로 = Affective Design of Automotive Center Fascia Display: Focused on Regional Preference,"Center fascia,Affective design,Cultural difference,Regional preference","Objective: This study is primarily aimed at examining regional affections to automotive center fascia displays.

Background: Design research continues to systematize affection to enhance affective quality for automotive users. As self-driving technology progresses, the amount of information exchanged between the driver and the vehicle increases rapidly, making the center fascia display larger and more diverse. As a result, the direction of research reflecting customer affection in the design of existing automotive interior package elements needs to be studied in guideline with the new design trend in the center fascia.

Method: A total of nine products were tested for affection, taking into account three display types, after selecting 22 affective words. Based on this, the three affective factors of each display type were derived by analyzing factors, and the MDS and MANOVA analysis was conducted to analyze the dimensions of the affective factors after conducting an affective evaluation of the nine products using newly formed affective factors and to verify the influence between the nine products, the affective factors and regions.

Results: There was a difference in preference affection between regions for display type, while horizontal type was significant for novelty and luxuriousness, longitudinal type was significant for novelty, fanciness and overall preference, and mixed type resulted in significant results for novelty and fanciness. It was derived that product differentiation comes from novelty, fanciness and luxuriousness.

Conclusion: Cross cultural affective preference was derived by vehicle center fascia display type considering the result of this study in the final.

Application: The results of this study is expected to present a strategic direction related to overall affection to the form of automotive displays.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,자동차 암레스트의 사출성형과 인몰드코팅에 관한 해석 = Analysis for injection molding and in-mold coating of automotive armrestsJong-,"Flow Pattern,Injection Molding,In-Mold Coating,Packing,Polyurethane","Analytical and experimental study were carried out in order to achieve simultaneous coating and injection molding of an automotive armrest. A mold was designed to be included one core and two cavities, which were composed of a substrate cavity and a coating cavity. The materials used were PC/ABS for substrate and 2-component Polyurethane for coating. The predicted flow patterns were in good agreement with experimental results in injection molding and in-mold coating. Based on analysis and experiment, it was found that the optimal processing conditions were packing pressure of 90MPa and holding time of 7sec.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,자동차 이차전지용 셀 및 모듈 조립을 위한 Al/Cu 이종소재 초음파 및 레이저 접합 기술 리뷰 = Ultrasonic and Laser Welding Technologies on Al/Cu Dissimilar Materials for the Lithium-Ion Battery Cell or Module Manufacturing,"Technical trend,Aluminum,Copper,Dissimilar joint,Battery cell & pack,Ultrasonic welding,Laser welding","The global technical trend of the automobile industry has been moving to environmental friendly. Typical gasoline cars will be replaced by green cars such as hydrogen, electric and hybrid cars. Therefore, the demand for battery cells is expected to increase remarkably. Welding and joining technologies are key technology for assembling tab to tab or tab to bus bar, and it is important to secure stable and robust joints. This paper provides a comprehensive review of joining technologies for the ultrasonic and laser welding, respectively.
It discusses the advantages and disadvantages of the joining technologies for the Al and Cu dissimilar joints as related to battery manufacturing, and discusses corresponding issues.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
